"","Var1","Freq"
"1","16",81
"2","16.1",86
"3","16.2",72
"4","16.3",88
"5","16.4",87
"6","16.5",111
"7","16.6",104
"8","16.7",93
"9","16.8",99
"10","16.9",103
"11","17",107
"12","17.1",109
"13","17.2",115
"14","17.3",124
"15","17.4",125
"16","17.5",119
"17","17.6",133
"18","17.7",109
"19","17.8",135
"20","17.9",145
"21","18",118
"22","18.1",126
"23","18.2",140
"24","18.3",168
"25","18.4",151
"26","18.5",145
"27","18.6",140
"28","18.7",123
"29","18.8",149
"30","18.9",143
"31","19",170
"32","19.1",147
"33","19.2",163
"34","19.3",150
"35","19.4",150
"36","19.5",148
"37","19.6",176
"38","19.7",134
"39","19.8",163
"40","19.9",152
"41","20",152
"42","20.1",147
"43","20.2",133
"44","20.3",149
"45","20.4",155
"46","20.5",144
"47","20.6",150
"48","20.7",162
"49","20.8",163
"50","20.9",160
"51","21",147
"52","21.1",143
"53","21.2",147
"54","21.3",146
"55","21.4",149
"56","21.5",135
"57","21.6",169
"58","21.7",129
"59","21.8",171
"60","21.9",145
"61","22",138
"62","22.1",147
"63","22.2",168
"64","22.3",133
"65","22.4",150
"66","22.5",154
"67","22.6",155
"68","22.7",139
"69","22.8",143
"70","22.9",177
"71","23",132
"72","23.1",125
"73","23.2",147
"74","23.3",155
"75","23.4",151
"76","23.5",140
"77","23.6",148
"78","23.7",136
"79","23.8",160
"80","23.9",145
"81","24",122
"82","24.1",132
"83","24.2",149
"84","24.3",150
"85","24.4",155
"86","24.5",133
"87","24.6",151
"88","24.7",156
"89","24.8",142
"90","24.9",132
"91","25",127
"92","25.1",137
"93","25.2",124
"94","25.3",127
"95","25.4",129
"96","25.5",121
"97","25.6",124
"98","25.7",140
"99","25.8",144
"100","25.9",147
"101","26",132
"102","26.1",121
"103","26.2",142
"104","26.3",124
"105","26.4",140
"106","26.5",122
"107","26.6",153
"108","26.7",136
"109","26.8",145
"110","26.9",150
"111","27",107
"112","27.1",127
"113","27.2",140
"114","27.3",129
"115","27.4",157
"116","27.5",112
"117","27.6",124
"118","27.7",111
"119","27.8",119
"120","27.9",124
"121","28",135
"122","28.1",144
"123","28.2",133
"124","28.3",117
"125","28.4",110
"126","28.5",116
"127","28.6",123
"128","28.7",131
"129","28.8",130
"130","28.9",113
"131","29",127
"132","29.1",121
"133","29.2",113
"134","29.3",150
"135","29.4",117
"136","29.5",116
"137","29.6",131
"138","29.7",119
"139","29.8",106
"140","29.9",109
"141","30",110
"142","30.1",103
"143","30.2",112
"144","30.3",99
"145","30.4",117
"146","30.5",116
"147","30.6",111
"148","30.7",122
"149","30.8",132
"150","30.9",124
"151","31",110
"152","31.1",132
"153","31.2",111
"154","31.3",141
"155","31.4",109
"156","31.5",107
"157","31.6",117
"158","31.7",111
"159","31.8",115
"160","31.9",117
"161","32",113
"162","32.1",112
"163","32.2",92
"164","32.3",110
"165","32.4",118
"166","32.5",116
"167","32.6",119
"168","32.7",104
"169","32.8",129
"170","32.9",129
"171","33",117
"172","33.1",122
"173","33.2",115
"174","33.3",117
"175","33.4",108
"176","33.5",105
"177","33.6",117
"178","33.7",104
"179","33.8",114
"180","33.9",104
"181","34",100
"182","34.1",125
"183","34.2",102
"184","34.3",126
"185","34.4",115
"186","34.5",116
"187","34.6",109
"188","34.7",112
"189","34.8",108
"190","34.9",121
"191","35",114
"192","35.1",107
"193","35.2",122
"194","35.3",119
"195","35.4",111
"196","35.5",108
"197","35.6",117
"198","35.7",98
"199","35.8",122
"200","35.9",130
"201","36",104
"202","36.1",117
