"","Column","Freq_NA"
"1","ASSESS_SYSBP_VAL",0
"2","ASSESS_GCS_MOTOR",0
"3","ASSESS_GCS_TOTAL",0
"4","ASSESS_PULSE_VAL",0
"5","ASSESS_RESP_RATE_VAL",0
"6","PATIENT_AGE",0
"7","Head",0
"8","Face",0
"9","Chest",0
"10","Abdomen",0
"11","Pelvis",0
"12","Spine",0
"13","Limb",0
"14","Other",0
"15",NA,NA
"16",NA,NA
"17",NA,NA
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
"22",NA,NA
"23",NA,NA
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",NA,NA
"29",NA,NA
"30",NA,NA
"31",NA,NA
