"","Var1","Freq"
"1","0",423
"2","2",1
"3","5",1
"4","6",1
"5","7",1
"6","9",2
"7","10",1
"8","12",2
"9","14",2
"10","15",6
"11","16",14
"12","18",12
"13","19",5
"14","20",10
"15","21",2
"16","22",3
"17","23",1
"18","24",9
"19","25",1
"20","26",3
"21","28",4
"22","29",2
"23","30",3
"24","32",4
"25","33",1
"26","34",2
"27","36",2
"28","39",2
"29","40",2
"30","42",2
"31","43",1
"32","44",1
"33","45",3
"34","46",1
"35","47",2
"36","48",4
"37","49",3
"38","50",51
"39","51",7
"40","52",7
"41","53",3
"42","54",10
"43","55",10
"44","56",11
"45","57",9
"46","58",9
"47","59",5
"48","60",49
"49","61",9
"50","62",17
"51","63",10
"52","64",25
"53","65",30
"54","66",37
"55","67",22
"56","68",47
"57","69",40
"58","70",120
"59","71",40
"60","72",86
"61","73",43
"62","74",109
"63","75",116
"64","76",117
"65","77",133
"66","78",187
"67","79",184
"68","80",513
"69","81",221
"70","82",423
"71","83",362
"72","84",628
"73","85",679
"74","86",733
"75","87",651
"76","88",1645
"77","89",1364
"78","90",2668
"79","91",2125
"80","92",3963
"81","93",4336
"82","94",9673
"83","95",14008
"84","96",20790
"85","97",22379
"86","98",28823
"87","99",20624
"88","100",19476
