"","Var1","Freq"
"1","1",204
"2","2",50
"3","3",253
"4","4",313
"5","5",253
"6","6",239
"7","7",198
"8","8",181
"9","9",156
"10","10",158
"11","11",135
"12","12",128
"13","13",88
"14","14",100
"15","15",78
"16","16",68
"17","17",57
"18","18",66
"19","19",64
"20","20",45
"21","21",50
"22","22",44
"23","23",37
"24","24",34
"25","25",43
"26","26",29
"27","27",33
"28","28",22
"29","29",20
"30","30",28
"31","31",27
"32","32",23
"33","33",17
"34","34",23
"35","35",15
"36","36",16
"37","37",11
"38","38",8
"39","39",11
"40","40",13
"41","41",15
"42","42",7
"43","43",9
"44","44",7
"45","45",12
"46","46",9
"47","47",10
"48","48",6
"49","49",8
"50","50",5
"51","51",6
"52","52",9
"53","53",11
"54","54",4
"55","55",4
"56","56",6
"57","57",3
"58","59",3
"59","60",3
"60","61",5
"61","62",8
"62","63",4
"63","64",2
"64","65",4
"65","66",5
"66","67",1
"67","68",2
"68","69",5
"69","70",2
"70","71",4
"71","72",2
"72","73",5
"73","74",2
"74","75",2
"75","76",1
"76","77",2
"77","80",2
"78","83",1
"79","85",2
"80","87",4
"81","89",1
"82","90",1
"83","91",2
"84","94",3
"85","98",5
"86","99",1
"87","101",1
"88","105",3
"89","106",1
"90","109",1
"91","117",1
"92","119",1
"93","120",1
"94","126",1
"95","129",2
"96","136",2
"97","142",1
"98","147",1
"99","158",1
"100","160",1
"101","191",1
"102","202",1
"103","342",1
