"","Var1","Freq"
"1","2008-01-01",4
"2","2008-01-06",1
"3","2008-01-07",1
"4","2008-01-08",2
"5","2008-01-09",1
"6","2008-01-12",4
"7","2008-01-17",1
"8","2008-01-18",1
"9","2008-01-19",1
"10","2008-01-20",1
"11","2008-01-23",1
"12","2008-01-24",1
"13","2008-01-25",1
"14","2008-01-26",1
"15","2008-01-27",1
"16","2008-01-28",1
"17","2008-01-29",1
"18","2008-01-31",2
"19","2008-02-01",1
"20","2008-02-02",2
"21","2008-02-05",2
"22","2008-02-06",1
"23","2008-02-07",3
"24","2008-02-08",1
"25","2008-02-09",2
"26","2008-02-10",4
"27","2008-02-11",1
"28","2008-02-12",1
"29","2008-02-13",1
"30","2008-02-14",1
"31","2008-02-18",1
"32","2008-02-21",1
"33","2008-02-22",4
"34","2008-02-23",2
"35","2008-02-24",1
"36","2008-02-25",2
"37","2008-02-27",1
"38","2008-02-28",2
"39","2008-02-29",1
"40","2008-03-02",3
"41","2008-03-03",3
"42","2008-03-04",2
"43","2008-03-08",2
"44","2008-03-10",1
"45","2008-03-13",1
"46","2008-03-17",1
"47","2008-03-18",1
"48","2008-03-19",2
"49","2008-03-20",2
"50","2008-03-21",2
"51","2008-03-26",1
"52","2008-03-28",2
"53","2008-03-29",1
"54","2008-03-30",1
"55","2008-03-31",1
"56","2008-04-01",2
"57","2008-04-03",1
"58","2008-04-04",2
"59","2008-04-06",1
"60","2008-04-07",1
"61","2008-04-11",2
"62","2008-04-12",1
"63","2008-04-13",1
"64","2008-04-14",4
"65","2008-04-15",3
"66","2008-04-19",3
"67","2008-04-20",1
"68","2008-04-21",1
"69","2008-04-22",1
"70","2008-04-23",1
"71","2008-04-25",2
"72","2008-04-26",1
"73","2008-04-27",2
"74","2008-04-30",2
"75","2008-05-01",1
"76","2008-05-02",1
"77","2008-05-03",1
"78","2008-05-04",1
"79","2008-05-05",3
"80","2008-05-06",3
"81","2008-05-07",2
"82","2008-05-08",1
"83","2008-05-09",3
"84","2008-05-10",1
"85","2008-05-11",1
"86","2008-05-12",3
"87","2008-05-13",2
"88","2008-05-15",1
"89","2008-05-16",1
"90","2008-05-17",1
"91","2008-05-18",2
"92","2008-05-19",2
"93","2008-05-20",1
"94","2008-05-21",1
"95","2008-05-22",1
"96","2008-05-23",2
"97","2008-05-24",2
"98","2008-05-25",3
"99","2008-05-26",2
"100","2008-05-29",2
"101","2008-05-30",1
"102","2008-06-01",2
"103","2008-06-02",1
"104","2008-06-03",1
"105","2008-06-04",1
"106","2008-06-05",1
"107","2008-06-07",2
"108","2008-06-08",2
"109","2008-06-09",2
"110","2008-06-13",1
"111","2008-06-14",1
"112","2008-06-15",2
"113","2008-06-16",1
"114","2008-06-21",5
"115","2008-06-25",2
"116","2008-06-26",1
"117","2008-06-27",1
"118","2008-06-29",2
"119","2008-06-30",1
"120","2008-07-01",1
"121","2008-07-04",1
"122","2008-07-05",2
"123","2008-07-06",1
"124","2008-07-10",1
"125","2008-07-11",2
"126","2008-07-13",1
"127","2008-07-14",2
"128","2008-07-18",3
"129","2008-07-22",1
"130","2008-07-24",2
"131","2008-07-25",1
"132","2008-07-26",3
"133","2008-07-27",2
"134","2008-07-28",1
"135","2008-07-29",1
"136","2008-07-30",1
"137","2008-07-31",1
"138","2008-08-01",3
"139","2008-08-02",1
"140","2008-08-06",1
"141","2008-08-08",2
"142","2008-08-09",1
"143","2008-08-10",1
"144","2008-08-14",3
"145","2008-08-15",2
"146","2008-08-16",2
"147","2008-08-17",1
"148","2008-08-20",1
"149","2008-08-22",1
"150","2008-08-24",1
"151","2008-08-25",2
"152","2008-08-26",2
"153","2008-08-27",2
"154","2008-08-28",1
"155","2008-09-02",3
"156","2008-09-03",1
"157","2008-09-04",2
"158","2008-09-05",1
"159","2008-09-06",1
"160","2008-09-07",4
"161","2008-09-08",2
"162","2008-09-09",1
"163","2008-09-11",1
"164","2008-09-12",1
"165","2008-09-13",1
"166","2008-09-14",3
"167","2008-09-15",3
"168","2008-09-16",2
"169","2008-09-17",1
"170","2008-09-18",1
"171","2008-09-19",1
"172","2008-09-21",1
"173","2008-09-24",1
"174","2008-09-26",2
"175","2008-09-27",1
"176","2008-09-28",3
"177","2008-09-29",1
"178","2008-09-30",1
"179","2008-10-01",2
"180","2008-10-02",1
"181","2008-10-03",1
"182","2008-10-04",1
"183","2008-10-05",2
"184","2008-10-06",1
"185","2008-10-07",1
"186","2008-10-10",5
"187","2008-10-11",5
"188","2008-10-12",1
"189","2008-10-15",2
"190","2008-10-19",1
"191","2008-10-20",2
"192","2008-10-21",1
"193","2008-10-22",2
"194","2008-10-24",1
"195","2008-10-26",1
"196","2008-10-27",1
"197","2008-10-28",1
"198","2008-10-29",2
"199","2008-11-01",1
"200","2008-11-02",2
"201","2008-11-04",1
"202","2008-11-06",2
"203","2008-11-11",2
"204","2008-11-16",1
"205","2008-11-17",1
"206","2008-11-18",2
"207","2008-11-21",1
"208","2008-11-22",2
"209","2008-11-23",2
"210","2008-11-24",3
"211","2008-11-26",1
"212","2008-11-27",2
"213","2008-11-28",1
"214","2008-11-29",1
"215","2008-12-04",1
"216","2008-12-05",2
"217","2008-12-07",1
"218","2008-12-08",2
"219","2008-12-10",1
"220","2008-12-11",1
"221","2008-12-12",1
"222","2008-12-14",4
"223","2008-12-18",1
"224","2008-12-20",1
"225","2008-12-21",2
"226","2008-12-23",3
"227","2008-12-25",5
"228","2008-12-27",1
"229","2008-12-28",3
"230","2008-12-29",1
"231","2008-12-30",1
"232","2009-01-01",3
"233","2009-01-02",1
"234","2009-01-05",2
"235","2009-01-06",1
"236","2009-01-09",1
"237","2009-01-11",1
"238","2009-01-14",2
"239","2009-01-17",1
"240","2009-01-20",1
"241","2009-01-21",2
"242","2009-01-24",3
"243","2009-01-25",1
"244","2009-01-26",3
"245","2009-01-27",1
"246","2009-01-28",2
"247","2009-01-30",3
"248","2009-02-02",1
"249","2009-02-03",2
"250","2009-02-04",1
"251","2009-02-06",1
"252","2009-02-07",1
"253","2009-02-08",1
"254","2009-02-10",1
"255","2009-02-11",3
"256","2009-02-12",2
"257","2009-02-14",3
"258","2009-02-15",3
"259","2009-02-20",3
"260","2009-02-21",7
"261","2009-02-22",1
"262","2009-02-24",2
"263","2009-02-26",1
"264","2009-02-27",2
"265","2009-02-28",1
"266","2009-03-01",1
"267","2009-03-03",2
"268","2009-03-04",1
"269","2009-03-05",1
"270","2009-03-06",2
"271","2009-03-08",1
"272","2009-03-09",2
