"","Var1","Freq"
"1","00:01:00",77
"2","00:02:00",12
"3","00:03:00",10
"4","00:04:00",8
"5","00:05:00",55
"6","00:06:00",6
"7","00:07:00",10
"8","00:08:00",5
"9","00:09:00",10
"10","00:10:00",65
"11","00:11:00",10
"12","00:12:00",11
"13","00:13:00",7
"14","00:14:00",9
"15","00:15:00",87
"16","00:16:00",6
"17","00:17:00",7
"18","00:18:00",8
"19","00:19:00",5
"20","00:20:00",60
"21","00:21:00",14
"22","00:22:00",12
"23","00:23:00",5
"24","00:24:00",9
"25","00:25:00",35
"26","00:26:00",9
"27","00:27:00",11
"28","00:28:00",7
"29","00:29:00",9
"30","00:30:00",152
"31","00:31:00",11
"32","00:32:00",12
"33","00:34:00",9
"34","00:35:00",28
"35","00:36:00",4
"36","00:37:00",11
"37","00:38:00",10
"38","00:39:00",3
"39","00:40:00",48
"40","00:41:00",8
"41","00:42:00",12
"42","00:43:00",7
"43","00:44:00",12
"44","00:45:00",66
"45","00:46:00",10
"46","00:47:00",8
"47","00:48:00",8
"48","00:49:00",7
"49","00:50:00",42
"50","00:51:00",8
"51","00:52:00",10
"52","00:53:00",9
"53","00:54:00",10
"54","00:55:00",27
"55","00:56:00",5
"56","00:57:00",14
"57","00:58:00",4
"58","00:59:00",4
"59","01:00:00",226
"60","01:01:00",9
"61","01:02:00",4
"62","01:03:00",6
"63","01:04:00",9
"64","01:05:00",21
"65","01:06:00",9
"66","01:07:00",7
"67","01:08:00",10
"68","01:09:00",10
"69","01:10:00",43
"70","01:11:00",7
"71","01:12:00",8
"72","01:13:00",4
"73","01:14:00",13
"74","01:15:00",58
"75","01:16:00",8
"76","01:17:00",6
"77","01:18:00",7
"78","01:19:00",6
"79","01:20:00",46
"80","01:21:00",6
"81","01:22:00",6
"82","01:23:00",10
"83","01:24:00",6
"84","01:25:00",25
"85","01:26:00",6
"86","01:27:00",5
"87","01:28:00",7
"88","01:29:00",7
"89","01:30:00",148
"90","01:31:00",5
"91","01:32:00",9
"92","01:33:00",8
"93","01:34:00",10
"94","01:35:00",26
"95","01:36:00",9
"96","01:37:00",5
"97","01:38:00",8
"98","01:39:00",7
"99","01:40:00",49
"100","01:41:00",4
"101","01:42:00",6
"102","01:43:00",8
"103","01:44:00",6
"104","01:45:00",62
"105","01:46:00",13
"106","01:47:00",4
"107","01:48:00",2
"108","01:49:00",4
"109","01:50:00",52
"110","01:51:00",8
"111","01:52:00",8
"112","01:53:00",1
"113","01:54:00",7
"114","01:55:00",26
"115","01:56:00",10
"116","01:57:00",8
"117","01:58:00",5
"118","01:59:00",4
"119","02:00:00",216
"120","02:01:00",7
"121","02:02:00",7
"122","02:03:00",2
"123","02:04:00",7
"124","02:05:00",22
"125","02:06:00",12
"126","02:07:00",9
"127","02:08:00",3
"128","02:09:00",9
"129","02:10:00",34
"130","02:11:00",4
"131","02:12:00",7
"132","02:13:00",3
"133","02:14:00",10
"134","02:15:00",62
"135","02:16:00",4
"136","02:17:00",7
"137","02:18:00",10
"138","02:19:00",13
"139","02:20:00",29
"140","02:21:00",10
"141","02:22:00",6
"142","02:23:00",10
"143","02:24:00",6
"144","02:25:00",16
"145","02:26:00",9
"146","02:27:00",5
"147","02:28:00",7
"148","02:29:00",9
"149","02:30:00",150
"150","02:31:00",3
"151","02:32:00",7
"152","02:33:00",4
"153","02:34:00",5
"154","02:35:00",20
"155","02:36:00",12
"156","02:37:00",5
"157","02:38:00",8
"158","02:39:00",8
"159","02:40:00",37
"160","02:41:00",5
"161","02:42:00",3
"162","02:43:00",3
"163","02:44:00",7
"164","02:45:00",78
"165","02:46:00",6
"166","02:47:00",3
"167","02:48:00",7
"168","02:49:00",5
"169","02:50:00",29
"170","02:51:00",4
"171","02:52:00",8
"172","02:53:00",6
"173","02:54:00",3
"174","02:55:00",19
"175","02:56:00",8
"176","02:57:00",3
"177","02:58:00",9
"178","02:59:00",11
"179","03:00:00",223
"180","03:01:00",10
"181","03:02:00",3
"182","03:03:00",9
"183","03:04:00",12
"184","03:05:00",15
"185","03:06:00",7
"186","03:07:00",3
"187","03:08:00",5
"188","03:09:00",6
"189","03:10:00",35
"190","03:11:00",12
"191","03:12:00",4
"192","03:13:00",9
"193","03:14:00",2
"194","03:15:00",43
"195","03:16:00",9
"196","03:17:00",7
"197","03:18:00",9
"198","03:19:00",6
"199","03:20:00",46
"200","03:21:00",13
"201","03:22:00",7
"202","03:23:00",6
"203","03:24:00",8
"204","03:25:00",18
"205","03:26:00",7
"206","03:27:00",7
"207","03:28:00",7
"208","03:29:00",10
"209","03:30:00",126
"210","03:31:00",3
"211","03:32:00",3
"212","03:33:00",5
"213","03:34:00",6
"214","03:35:00",22
"215","03:36:00",5
"216","03:37:00",4
"217","03:38:00",3
"218","03:39:00",6
"219","03:40:00",34
"220","03:41:00",8
"221","03:42:00",5
"222","03:43:00",7
"223","03:44:00",4
"224","03:45:00",53
"225","03:46:00",5
"226","03:47:00",6
"227","03:48:00",5
"228","03:49:00",4
"229","03:50:00",35
"230","03:51:00",5
"231","03:52:00",4
"232","03:53:00",6
"233","03:54:00",7
"234","03:55:00",18
"235","03:56:00",7
"236","03:57:00",8
"237","03:58:00",9
"238","03:59:00",4
"239","04:00:00",184
"240","04:01:00",5
"241","04:02:00",7
"242","04:03:00",4
"243","04:04:00",5
"244","04:05:00",17
"245","04:06:00",7
