"","Var1","Freq"
"1","0",9100
"2","1",7453
"3","2",3330
"4","3",2303
"5","4",1741
"6","5",1334
"7","6",1014
"8","7",760
"9","8",646
"10","9",521
"11","10",472
"12","11",351
"13","12",325
"14","13",322
"15","14",267
"16","15",247
"17","16",220
"18","17",209
"19","18",217
"20","19",185
"21","20",143
"22","21",137
"23","22",129
"24","23",136
"25","24",110
"26","25",91
"27","26",69
"28","27",91
"29","28",74
"30","29",62
"31","30",52
"32","31",53
"33","32",42
"34","33",46
"35","34",39
"36","35",43
"37","36",26
"38","37",27
"39","38",30
"40","39",13
"41","40",16
"42","41",19
"43","42",18
"44","43",13
"45","44",14
"46","45",15
"47","46",14
"48","47",10
"49","48",13
"50","49",14
"51","50",9
"52","51",6
"53","52",12
"54","53",5
"55","54",6
"56","55",1
"57","56",8
"58","57",2
"59","58",4
"60","59",3
"61","60",2
"62","61",3
"63","62",5
"64","63",2
"65","64",2
"66","65",4
"67","66",4
"68","68",2
"69","70",1
"70","71",2
"71","72",4
"72","74",3
"73","75",1
"74","76",2
"75","77",4
"76","79",3
"77","80",2
"78","81",1
"79","82",1
"80","84",2
"81","85",1
"82","86",1
"83","87",1
"84","88",2
"85","89",1
"86","90",1
"87","92",1
"88","93",2
"89","95",1
"90","96",1
"91","97",1
"92","98",1
"93","100",1
"94","101",1
"95","103",1
"96","105",1
"97","108",1
"98","109",1
"99","112",1
"100","115",1
"101","116",1
"102","120",1
"103","123",1
"104","130",1
"105","152",1
"106","175",1
"107","189",1
"108","196",1
"109","197",2
"110","230",1
