"","Var1","Freq"
"1","2008-01-07",1
"2","2008-01-10",2
"3","2008-01-14",1
"4","2008-01-16",1
"5","2008-01-19",1
"6","2008-01-26",1
"7","2008-01-27",2
"8","2008-01-29",1
"9","2008-01-31",1
"10","2008-02-01",1
"11","2008-02-04",1
"12","2008-02-06",1
"13","2008-02-12",1
"14","2008-02-14",1
"15","2008-02-18",1
"16","2008-02-20",1
"17","2008-02-21",1
"18","2008-03-14",1
"19","2008-05-03",1
"20","2008-05-20",1
"21","2008-08-19",1
"22","2008-09-18",1
"23","2008-10-13",1
"24","2008-10-25",1
"25","2008-11-03",1
"26","2008-12-01",1
"27","2008-12-10",1
"28","2008-12-15",1
"29","2009-01-02",1
"30","2009-01-03",2
"31","2009-01-08",1
"32","2009-01-16",1
"33","2009-01-21",1
"34","2009-01-22",1
"35","2009-01-24",1
"36","2009-01-25",1
"37","2009-01-27",2
"38","2009-01-28",1
"39","2009-01-29",1
"40","2009-01-31",2
"41","2009-02-05",1
"42","2009-02-07",1
"43","2009-02-20",1
"44","2009-02-22",1
"45","2009-02-23",1
"46","2009-02-24",1
"47","2009-02-25",2
"48","2009-02-28",2
"49","2009-03-01",1
"50","2009-03-03",1
"51","2009-03-04",1
"52","2009-03-05",1
"53","2009-03-10",2
"54","2009-03-11",1
"55","2009-03-12",1
"56","2009-03-17",1
"57","2009-03-19",1
"58","2009-03-27",1
"59","2009-03-28",1
"60","2009-03-29",1
"61","2009-03-31",1
"62","2009-04-05",1
"63","2009-04-06",1
"64","2009-04-09",1
"65","2009-04-14",1
"66","2009-04-16",1
"67","2009-04-17",3
"68","2009-04-26",1
"69","2009-04-27",1
"70","2009-05-01",1
"71","2009-05-11",1
"72","2009-05-20",1
"73","2009-05-24",1
"74","2009-05-28",1
"75","2009-06-01",1
"76","2009-06-02",1
"77","2009-06-03",1
"78","2009-06-12",1
"79","2009-06-16",1
"80","2009-06-23",1
"81","2009-06-25",1
"82","2009-07-05",1
"83","2009-07-11",1
"84","2009-07-13",2
"85","2009-07-27",1
"86","2009-07-31",1
"87","2009-08-11",1
"88","2009-08-13",1
"89","2009-08-18",1
"90","2009-08-19",1
"91","2009-08-22",1
"92","2009-08-23",1
"93","2009-08-31",1
"94","2009-09-08",1
"95","2009-09-21",1
"96","2009-09-22",1
"97","2009-09-24",1
"98","2009-10-02",1
"99","2009-10-12",1
"100","2009-10-13",1
"101","2009-10-15",1
"102","2009-10-24",1
"103","2009-10-30",1
"104","2009-11-05",1
"105","2009-11-06",1
"106","2009-11-23",1
"107","2009-12-07",1
"108","2009-12-09",1
"109","2009-12-13",1
"110","2009-12-14",1
"111","2009-12-16",1
"112","2009-12-21",1
"113","2009-12-24",1
"114","2010-01-08",1
"115","2010-01-20",1
"116","2010-01-28",1
"117","2010-01-31",2
"118","2010-02-03",1
"119","2010-02-06",2
"120","2010-02-08",2
"121","2010-02-10",1
"122","2010-02-13",1
"123","2010-02-16",1
"124","2010-02-17",1
"125","2010-02-18",1
"126","2010-02-21",1
"127","2010-02-25",2
"128","2010-03-07",1
"129","2010-03-09",2
"130","2010-03-10",1
"131","2010-03-14",2
"132","2010-03-17",1
"133","2010-03-18",1
"134","2010-03-23",1
"135","2010-03-30",1
"136","2010-03-31",1
"137","2010-04-02",1
"138","2010-04-05",1
"139","2010-04-06",1
"140","2010-04-15",1
"141","2010-04-17",1
"142","2010-04-19",1
"143","2010-04-20",1
"144","2010-04-22",1
"145","2010-04-25",1
