"","Var1","Freq"
"1","00:01:00",30
"2","00:02:00",2
"3","00:03:00",2
"4","00:04:00",9
"5","00:05:00",16
"6","00:06:00",3
"7","00:07:00",3
"8","00:08:00",5
"9","00:09:00",2
"10","00:10:00",15
"11","00:11:00",1
"12","00:12:00",4
"13","00:13:00",5
"14","00:14:00",5
"15","00:15:00",25
"16","00:16:00",4
"17","00:17:00",4
"18","00:18:00",9
"19","00:19:00",4
"20","00:20:00",15
"21","00:21:00",2
"22","00:22:00",3
"23","00:23:00",6
"24","00:24:00",2
"25","00:25:00",10
"26","00:26:00",2
"27","00:27:00",3
"28","00:28:00",3
"29","00:29:00",2
"30","00:30:00",35
"31","00:32:00",2
"32","00:33:00",3
"33","00:34:00",6
"34","00:35:00",9
"35","00:36:00",4
"36","00:38:00",1
"37","00:39:00",3
"38","00:40:00",19
"39","00:41:00",3
"40","00:42:00",3
"41","00:43:00",3
"42","00:44:00",5
"43","00:45:00",15
"44","00:46:00",3
"45","00:47:00",4
"46","00:48:00",7
"47","00:49:00",2
"48","00:50:00",9
"49","00:51:00",4
"50","00:52:00",5
"51","00:53:00",5
"52","00:54:00",4
"53","00:55:00",4
"54","00:56:00",3
"55","00:57:00",2
"56","00:58:00",2
"57","00:59:00",8
"58","01:00:00",42
"59","01:01:00",3
"60","01:02:00",2
"61","01:03:00",2
"62","01:04:00",3
"63","01:05:00",7
"64","01:06:00",4
"65","01:07:00",1
"66","01:08:00",6
"67","01:10:00",7
"68","01:11:00",2
"69","01:12:00",2
"70","01:13:00",1
"71","01:14:00",2
"72","01:15:00",15
"73","01:16:00",3
"74","01:17:00",1
"75","01:18:00",2
"76","01:19:00",2
"77","01:20:00",8
"78","01:22:00",4
"79","01:23:00",1
"80","01:24:00",2
"81","01:25:00",9
"82","01:26:00",2
"83","01:27:00",1
"84","01:28:00",4
"85","01:29:00",1
"86","01:30:00",40
"87","01:31:00",2
"88","01:32:00",1
"89","01:33:00",3
"90","01:34:00",3
"91","01:35:00",5
"92","01:36:00",2
"93","01:37:00",1
"94","01:38:00",3
"95","01:39:00",3
"96","01:40:00",17
"97","01:41:00",1
"98","01:42:00",2
"99","01:43:00",2
"100","01:44:00",4
"101","01:45:00",15
"102","01:46:00",3
"103","01:47:00",5
"104","01:48:00",2
"105","01:50:00",9
"106","01:51:00",3
"107","01:53:00",2
"108","01:55:00",4
"109","01:56:00",4
"110","01:57:00",1
"111","01:58:00",2
"112","01:59:00",3
"113","02:00:00",39
"114","02:01:00",2
"115","02:02:00",2
"116","02:03:00",1
"117","02:04:00",3
"118","02:05:00",6
"119","02:06:00",2
"120","02:07:00",1
"121","02:10:00",13
"122","02:11:00",2
"123","02:12:00",1
"124","02:13:00",3
"125","02:14:00",2
"126","02:15:00",11
"127","02:16:00",3
"128","02:19:00",4
"129","02:20:00",11
"130","02:21:00",2
"131","02:22:00",1
"132","02:23:00",1
"133","02:24:00",2
"134","02:25:00",6
"135","02:26:00",4
"136","02:27:00",3
"137","02:28:00",3
"138","02:30:00",28
"139","02:32:00",1
"140","02:33:00",4
"141","02:34:00",2
"142","02:35:00",3
"143","02:36:00",5
"144","02:37:00",1
"145","02:38:00",3
"146","02:40:00",10
"147","02:41:00",4
"148","02:42:00",3
"149","02:43:00",2
"150","02:44:00",1
"151","02:45:00",9
"152","02:46:00",4
"153","02:47:00",2
"154","02:48:00",2
"155","02:49:00",4
"156","02:50:00",5
"157","02:51:00",1
"158","02:52:00",7
"159","02:53:00",2
"160","02:54:00",2
"161","02:55:00",7
"162","02:56:00",4
"163","02:57:00",2
"164","02:58:00",2
"165","02:59:00",1
"166","03:00:00",34
"167","03:01:00",3
"168","03:02:00",1
"169","03:04:00",2
"170","03:05:00",7
"171","03:06:00",1
"172","03:07:00",3
"173","03:08:00",4
"174","03:10:00",6
"175","03:13:00",1
"176","03:14:00",1
"177","03:15:00",10
"178","03:16:00",1
"179","03:17:00",3
"180","03:18:00",3
"181","03:19:00",2
"182","03:20:00",15
"183","03:21:00",1
"184","03:22:00",2
"185","03:23:00",4
"186","03:24:00",1
"187","03:25:00",4
"188","03:27:00",4
"189","03:28:00",1
"190","03:29:00",1
"191","03:30:00",21
"192","03:32:00",5
"193","03:33:00",1
"194","03:34:00",1
"195","03:35:00",5
"196","03:36:00",1
"197","03:37:00",2
"198","03:38:00",1
"199","03:39:00",1
"200","03:40:00",4
"201","03:41:00",1
"202","03:43:00",1
"203","03:44:00",2
"204","03:45:00",7
"205","03:48:00",2
"206","03:49:00",2
"207","03:50:00",10
"208","03:51:00",3
"209","03:52:00",2
"210","03:53:00",3
"211","03:55:00",2
"212","03:56:00",1
"213","03:57:00",2
"214","03:58:00",1
"215","03:59:00",3
"216","04:00:00",22
"217","04:01:00",3
"218","04:02:00",1
"219","04:03:00",4
"220","04:05:00",5
"221","04:06:00",2
"222","04:07:00",3
"223","04:08:00",2
"224","04:09:00",1
"225","04:10:00",3
"226","04:11:00",1
"227","04:13:00",2
"228","04:14:00",2
"229","04:15:00",5
"230","04:18:00",1
"231","04:19:00",3
"232","04:20:00",7
"233","04:21:00",1
"234","04:22:00",1
"235","04:23:00",2
"236","04:25:00",3
"237","04:29:00",3
"238","04:30:00",17
"239","04:32:00",3
"240","04:33:00",3
"241","04:34:00",2
"242","04:35:00",3
"243","04:36:00",3
"244","04:37:00",2
"245","04:38:00",3
"246","04:39:00",1
"247","04:40:00",10
"248","04:41:00",1
"249","04:42:00",4
"250","04:43:00",2
"251","04:44:00",1
"252","04:45:00",7
"253","04:47:00",2
"254","04:48:00",2
"255","04:49:00",1
"256","04:50:00",7
"257","04:51:00",1
"258","04:53:00",1
"259","04:54:00",1
"260","04:55:00",6
"261","04:56:00",1
"262","04:57:00",1
"263","04:58:00",2
"264","05:00:00",25
"265","05:01:00",3
"266","05:02:00",1
"267","05:03:00",2
"268","05:04:00",2
"269","05:05:00",4
"270","05:06:00",2
"271","05:07:00",1
"272","05:08:00",1
"273","05:09:00",1
"274","05:10:00",7
"275","05:11:00",1
"276","05:14:00",1
"277","05:15:00",14
"278","05:16:00",3
"279","05:18:00",2
"280","05:19:00",2
"281","05:20:00",7
"282","05:23:00",1
"283","05:24:00",3
"284","05:25:00",2
"285","05:26:00",1
"286","05:27:00",3
"287","05:30:00",23
"288","05:31:00",1
"289","05:33:00",1
"290","05:34:00",1
"291","05:35:00",2
"292","05:36:00",1
"293","05:38:00",5
"294","05:40:00",7
"295","05:43:00",1
"296","05:44:00",4
"297","05:45:00",15
"298","05:46:00",1
"299","05:47:00",1
"300","05:48:00",1
"301","05:49:00",1
"302","05:50:00",6
"303","05:54:00",2
"304","05:55:00",4
"305","05:56:00",2
"306","05:57:00",1
"307","05:58:00",2
"308","05:59:00",1
"309","06:00:00",27
"310","06:01:00",2
"311","06:03:00",2
"312","06:04:00",1
"313","06:05:00",3
"314","06:06:00",4
"315","06:07:00",1
"316","06:10:00",1
"317","06:11:00",2
"318","06:12:00",2
"319","06:14:00",2
"320","06:15:00",9
"321","06:18:00",1
"322","06:19:00",2
"323","06:20:00",6
"324","06:22:00",2
"325","06:23:00",1
"326","06:24:00",1
"327","06:25:00",1
"328","06:28:00",1
"329","06:29:00",1
"330","06:30:00",19
"331","06:31:00",1
"332","06:32:00",2
"333","06:33:00",3
"334","06:35:00",5
"335","06:36:00",2
"336","06:38:00",1
"337","06:40:00",9
"338","06:41:00",3
"339","06:42:00",3
"340","06:43:00",1
"341","06:45:00",11
"342","06:47:00",1
"343","06:48:00",1
"344","06:49:00",3
"345","06:50:00",9
"346","06:51:00",2
"347","06:53:00",2
"348","06:54:00",1
"349","06:55:00",6
"350","06:56:00",2
"351","06:57:00",1
"352","06:58:00",3
"353","06:59:00",5
"354","07:00:00",44
"355","07:01:00",3
"356","07:02:00",1
"357","07:03:00",2
"358","07:04:00",1
"359","07:05:00",7
"360","07:06:00",1
"361","07:08:00",4
"362","07:09:00",2
"363","07:10:00",6
"364","07:11:00",1
"365","07:12:00",4
"366","07:13:00",4
"367","07:14:00",1
"368","07:15:00",10
"369","07:16:00",3
"370","07:17:00",3
"371","07:18:00",5
"372","07:19:00",1
"373","07:20:00",12
"374","07:21:00",1
"375","07:22:00",1
"376","07:24:00",1
"377","07:25:00",4
"378","07:26:00",1
"379","07:29:00",4
"380","07:30:00",22
"381","07:31:00",3
"382","07:32:00",2
"383","07:33:00",1
"384","07:34:00",2
"385","07:35:00",6
"386","07:36:00",2
"387","07:40:00",11
"388","07:41:00",1
"389","07:42:00",1
"390","07:43:00",7
"391","07:45:00",12
"392","07:46:00",1
"393","07:47:00",1
"394","07:48:00",5
"395","07:49:00",1
"396","07:50:00",7
"397","07:51:00",1
"398","07:52:00",1
"399","07:53:00",1
"400","07:54:00",2
"401","07:55:00",6
"402","07:57:00",5
"403","07:58:00",3
"404","08:00:00",58
"405","08:01:00",3
"406","08:02:00",2
"407","08:04:00",3
"408","08:05:00",6
"409","08:06:00",4
"410","08:07:00",1
"411","08:08:00",1
"412","08:09:00",3
"413","08:10:00",10
"414","08:11:00",2
"415","08:12:00",4
"416","08:13:00",1
"417","08:14:00",2
"418","08:15:00",12
"419","08:16:00",5
"420","08:18:00",1
"421","08:19:00",2
"422","08:20:00",9
"423","08:21:00",3
"424","08:22:00",2
"425","08:25:00",9
"426","08:26:00",2
"427","08:27:00",2
"428","08:28:00",1
"429","08:29:00",1
"430","08:30:00",28
"431","08:31:00",3
"432","08:32:00",2
"433","08:33:00",1
"434","08:34:00",3
"435","08:35:00",6
"436","08:36:00",4
"437","08:37:00",3
"438","08:38:00",1
"439","08:39:00",1
"440","08:40:00",11
"441","08:41:00",4
"442","08:42:00",1
"443","08:43:00",5
"444","08:44:00",2
"445","08:45:00",17
"446","08:46:00",4
"447","08:47:00",6
"448","08:48:00",2
"449","08:49:00",3
"450","08:50:00",13
"451","08:52:00",3
"452","08:53:00",1
"453","08:54:00",2
"454","08:55:00",6
"455","08:56:00",2
"456","08:57:00",1
"457","08:59:00",2
"458","09:00:00",83
"459","09:01:00",2
"460","09:02:00",2
"461","09:03:00",5
"462","09:04:00",3
"463","09:05:00",12
"464","09:06:00",1
"465","09:07:00",2
"466","09:08:00",7
"467","09:09:00",1
"468","09:10:00",13
"469","09:11:00",3
"470","09:13:00",3
"471","09:14:00",2
"472","09:15:00",20
"473","09:16:00",9
"474","09:17:00",2
"475","09:18:00",4
"476","09:19:00",2
"477","09:20:00",20
"478","09:22:00",5
"479","09:23:00",1
"480","09:24:00",2
"481","09:25:00",14
"482","09:26:00",4
"483","09:27:00",2
"484","09:28:00",3
"485","09:29:00",1
"486","09:30:00",58
"487","09:31:00",5
"488","09:32:00",5
"489","09:33:00",3
"490","09:34:00",3
"491","09:35:00",6
"492","09:36:00",4
"493","09:37:00",3
"494","09:38:00",5
"495","09:39:00",4
"496","09:40:00",19
"497","09:41:00",3
"498","09:42:00",2
"499","09:43:00",1
"500","09:44:00",4
"501","09:45:00",18
"502","09:46:00",3
"503","09:47:00",2
"504","09:48:00",1
"505","09:49:00",5
"506","09:50:00",18
"507","09:51:00",6
"508","09:53:00",4
"509","09:54:00",4
"510","09:55:00",10
"511","09:56:00",3
"512","09:57:00",4
"513","09:58:00",1
"514","09:59:00",4
"515","10:00:00",150
"516","10:01:00",8
"517","10:02:00",3
"518","10:03:00",6
"519","10:04:00",4
"520","10:05:00",17
"521","10:06:00",1
"522","10:07:00",1
"523","10:08:00",6
"524","10:09:00",8
"525","10:10:00",10
"526","10:11:00",3
"527","10:12:00",1
"528","10:13:00",2
"529","10:14:00",3
"530","10:15:00",32
