"","Var1","Freq"
"1","50",2
"2","100",882
"3","105",7
"4","110",8
"5","119",1
"6","120",12
"7","125",9
"8","140",3
"9","150",372
"10","160",5
"11","170",2
"12","175",1
"13","180",4
"14","190",1
"15","200",460
"16","205",2
"17","210",1
"18","225",2
"19","230",2
"20","240",1
"21","241",1
"22","250",1344
"23","254",1
"24","255",4
"25","260",18
"26","265",3
"27","270",2
"28","275",1
"29","280",4
"30","290",1
"31","300",215
"32","305",1
"33","310",2
"34","320",1
"35","330",1
"36","340",1
"37","350",249
"38","360",4
"39","370",1
"40","390",1
"41","400",157
"42","410",1
"43","415",1
"44","420",1
"45","440",2
"46","450",33
"47","460",1
"48","465",1
"49","475",1
"50","500",2784
"51","505",4
"52","510",6
"53","520",3
"54","535",1
"55","550",7
"56","560",2
"57","580",1
"58","600",54
"59","650",5
"60","680",1
"61","700",30
"62","750",159
"63","770",1
"64","779",1
"65","785",1
"66","800",26
"67","810",1
"68","850",19
"69","900",16
"70","950",2
"71","1000",1116
"72","1010",1
"73","1030",1
"74","1050",3
"75","1100",9
"76","1200",4
"77","1250",32
"78","1300",1
"79","1350",2
"80","1400",4
"81","1500",140
"82","1510",1
"83","1525",1
"84","1600",2
"85","1700",1
"86","1750",10
"87","1800",1
"88","1900",1
"89","2000",111
"90","2050",1
"91","2250",3
"92","2300",2
"93","2500",34
"94","2540",1
"95","2750",1
"96","3000",20
"97","3250",3
"98","3500",2
"99","4000",8
"100","4500",1
"101","5000",18
"102","6000",3
"103","7500",1
"104","8000",2
