"","Var1","Freq"
"1","1",1123
"2","2",179
"3","3",11
"4","4",25968
"5","5",3651
"6","6",312
"7","8",3315
"8","9",67872
"9","10",5302
"10","11",316
"11","12",517
"12","13",6282
"13","14",1848
"14","16",10997
"15","17",4411
"16","18",1754
"17","19",479
"18","20",3518
"19","21",1029
"20","22",1552
"21","24",1576
"22","25",10482
"23","26",2063
"24","27",461
"25","29",3662
"26","30",444
"27","32",159
"28","33",632
"29","34",1372
"30","35",195
"31","36",723
"32","38",1062
"33","41",643
"34","42",83
"35","43",406
"36","45",714
"37","48",122
"38","50",577
"39","51",11
"40","54",74
"41","57",217
"42","59",107
"43","66",118
"44","75",120
