"","Var1","Freq"
"1","1",1123
"2","2",179
"3","3",11
"4","4",25964
"5","5",3652
"6","6",312
"7","8",3315
"8","9",67871
"9","10",5302
"10","11",316
"11","12",518
"12","13",6283
"13","14",1849
"14","16",10996
"15","17",4411
"16","18",1755
"17","19",479
"18","20",3517
"19","21",1029
"20","22",1552
"21","24",1575
"22","25",10483
"23","26",2063
"24","27",461
"25","29",3664
"26","30",444
"27","32",159
"28","33",631
"29","34",1372
"30","35",195
"31","36",722
"32","38",1061
"33","41",643
"34","42",83
"35","43",406
"36","45",716
"37","48",122
"38","50",579
"39","51",11
"40","54",74
"41","57",216
"42","59",107
"43","66",118
"44","75",120
