"","Var1","Freq"
"1","'box splint'",1
"2","(L) arm splint",1
"3","(L) forearm splint",1
"4","(R) leg vacuum splint",1
"5","2 lower limb box splints",1
"6","2 splints",1
"7","2 X Tourniquet to leg",1
"8","ankle splint",1
"9","ankle splint with velcro strapping",1
"10","Ankle splint/LEG",1
"11","arm",1
"12","Arm Splint",1
"13","Back slab",1
"14","Belt and sheet pelvis splint",1
"15","Benecast pre-mould splint to right leg.",1
"16","BENECAST SPLINT LEFT WRIST AND BOX SPLINT LEFT ANKLE",1
"17","Benecast/Box bilat",1
"18","bilateral box splints",1
"19","Bilateral box splints",1
"20","bilateral kendrick",2
"21","box",4
"22","Box",4
"23","box splint",24
"24","Box splint",40
"25","Box Splint",13
"26","BOX SPLINT",19
"27","BOX SPLINT - LOWER LIMBS",1
"28","box splint  left ankle and box splint right tib/fib",1
"29","Box splint & arm sling",1
"30","Box Splint & Kendrick",1
"31","Box splint (L) forearm",1
"32","Box splint (L) leg",2
"33","Box splint (L) lower leg",1
"34","Box splint (L) wrist",1
"35","BOX SPLINT AND TRACTION SPLINT TO LOWER LIMB",1
"36","Box splint applied",1
"37","BOX SPLINT APPLIED",2
"38","box splint arm",1
"39","BOX SPLINT BOTH ARMS",1
"40","Box splint for arm.",1
"41","box splint L leg",1
"42","BOX SPLINT LEFT ANKLE.",1
"43","Box splint left arm",1
"44","BOX SPLINT LEFT ARM",1
"45","box splint left foot",1
"46","box splint left leg",3
"47","Box splint left leg and right arm + kendreick splint right leg",1
"48","box splint leg",1
"49","Box Splint Leg",1
"50","Box splint on left wrist",1
"51","box splint right arm",1
"52","box splint right leg",1
"53","BOX SPLINT RIGHT LEG",2
"54","BOX SPLINT RIGHT LOWER LEG AND SPLINT LEFT LOWER LEG",1
"55","box splint to left leg",1
"56","Box Splint to left leg.",1
"57","BOX SPLINT TO LEG",2
"58","BOX SPLINT TO LEG & ARM",1
"59","Box splint to right arm",1
"60","Box splint with padding",1
"61","box splint x2",1
"62","Box Splint, Pelvic Splint",1
"63","Box splint.",1
"64","Box Splint.",2
"65","box splints",3
"66","Box splints - both forearms",1
"67","box splints and traction splint to femur",1
"68","Box Splints on both Legs",1
"69","BOX SPLINTS RIGHT LEG - LEFT LEG",1
"70","box splints, bubble wrap, bilateral toruiquets",1
"71","box to right arm",1
"72","BROADFOLD BANDAGES & PADDING TO GIVE SUPPORT & COMFORT",1
"73","bubble wrap",6
"74","CAT trauma tourniquet applied to stop leg h'ge ++++",1
"75","Cervical Splint",1
"76","chrysalis splint",1
"77","collar and cuff",1
"78","DONAY SPLINT",1
"79","Donway applied to leg",1
"80","donway splint",7
"81","Donway splint",1
"82","Donway Splint",2
"83","donway splint applied",1
"84","Donway Splint applied",1
"85","Donway Splint Applied",1
"86","Donway splint?",1
"87","Femur Splint",1
"88","frac pac",23
"89","frac pac right leg",1
"90","FRAC STRAPS",1
"91","frac straps leg ?",1
"92","frac straps right leg",1
"93","fracpac",1
"94","fracpac and scoop utilised",1
"95","fracpac and traction",1
"96","Fracture Pac",1
"97","Fracture pac used",1
"98","Fracture pack applied to left leg and arm",1
"99","Fracture straps",4
"100","Full length vacuum splint",1
"101","GUUTER SPLINT",1
"102","Immobilisation - traction",1
"103","Kendric Splint",1
"104","kendrick",1
"105","Kendrick",5
"106","Kendrick right leg",2
"107","kendrick splint",5
"108","Kendrick splint",6
"109","Kendrick Splint",13
"110","Kendrick Splint - femur reduced with manual traction",1
"111","kendrick splint (pelvic)",1
"112","Kendrick Splint and box splint",1
"113","Kendrick splint applied to L femur",1
"114","kendrick splint, pelvic splint",2
"115","kendrick traction splint to left femur",1
"116","kendrick, In-line tracton right leg",1
"117","kendrick, vacuum splint",1
"118","kendrik",1
"119","KTD Splint and Sam pelvic splint",1
"120","large pressure bandage",1
"121","LEFT AND RIGHT ANKLE AND RIGHT WRIST",1
"122","left ankle",1
"123","LEFT ANKLE SPLINT",1
"124","Left arm for mid shaft humerus #",1
"125","Left box splint",1
"126","Left leg splint",1
"127","left leg splinted",1
"128","LEFT TIBIAL",1
"129","Left wrist, splinted and immobilised",1
"130","Leg and ankle splinted in long splint.",1
"131","Leg and arm splints",1
"132","Leg immobilised in a traction spilint",1
"133","leg splint",9
"134","Leg splint",5
"135","Leg Splint",1
"136","LEG SPLINT",1
"137","leg splint (R)",1
"138","Leg splint.",1
"139","Leg Splint.",1
"140","LEG SPLINTING",1
"141","legs splinted together - kendrick",1
"142","LIMB IMMOLILISED",1
"143","limb splint",3
"144","Limb splint",1
"145","Limb Splint",1
"146","LIMB SPLINT",4
"147","Limb splint (R) forearm",1
"148","limb splint left arm",1
"149","LIMB SPLINT RIGHT ARM",1
"150","limb splinted with slings",1
"151","Long board",1
"152","Long Board",1
"153","Long board & straps",1
"154","Long board, blocks and straps",1
"155","Long board, vacuum splint",1
"156","Long box",1
"157","Long box splint.",1
"158","long box splints",1
"159","long leg",1
"160","long leg splint",1
"161","LONG LEG SPLINT",3
"162","long splint & ortho stretcher",1
"163","Longboard",1
"164","loxley",8
"165","Loxley",9
"166","loxley splint",2
"167","Loxley splint",1
"168","loxley splint applied",1
"169","Loxley splint on arm",1
"170","LT THIGH",1
"171","MANUAL TRACTION APPLIED",1
"172","MILS, pelvis splint",1
"173","NFS",1
"174","no details",1
"175","not specified",1
"176","Ortho stretcher",1
"177","orthopaedic",1
"178","Padding and straps",1
"179","Patient refused CRV collar or any straps",1
"180","Pegasus / Box splint x 2",1
"181","pelvic splint",7
"182","Pelvic splint",3
"183","Pelvic Splint",14
"184","PELVIC SPLINT",2
"185","Pelvic splint and box splint to right leg",1
"186","Pelvic Splint and Kendrick Splint",1
"187","Pelvic Splint and Long Leg Splint",1
"188","pelvic splint.",1
"189","Pelvic splint.",1
"190","Pelvic Splint.",3
"191","pelvice splint",1
"192","Pelvis SAM sling",1
"193","pelvis splint",1
"194","Pelvis Splint",1
"195","post morphine, manual traction to straighten leg then Loxley splint applied",1
"196","Right Ankle Splint",1
"197","Right Kendick, Traction device",1
"198","Right leg splint",1
"199","Saegar traction splint",1
"200","sagar splint",1
"201","Sagar splint",1
"202","sagar splint left leg",1
"203","Sagar splint R leg",1
"204","sagar splint right leg",1
"205","Sagar Traction Splint",2
"206","Sager splint",1
"207","SAGER splint",1
"208","Sager splint & scoop",1
"209","SAM",2
"210","SAM pelvic Splint.",1
"211","Sam sling",1
"212","SAM Splint",1
"213","SAM SPLINT & BOX SPLINT",1
"214","Sam splint.",1
"215","Sam Splint.",1
"216","SAM Splint.",1
"217","Sarn pelvic splint",1
"218","Scoop & Longboard",1
"219","Scoop & pelvis strap",1
"220","Scoop & straps",1
"221","Scoop and fracture straps",1
"222","Scoop and long board",1
"223","Scoop and straps",1
"224","Skin Splint to leg",1
"225","sling",1
"226","Sling",1
"227","SPINAL COLLAR",1
"228","splint",6
"229","Splint",3
"230","SPLINT",1
"231","Splint (L) leg",1
"232","Splint (R) arm",1
"233","Splint (R) forearm",1
"234","Splint (R) leg",2
"235","Splint and sling right arm",1
"236","Splint applied to Right arm and (R) leg",1
"237","Splint both legs",1
"238","Splint Left Arm",1
"239","splint left leg",1
"240","SPLINT LEFT LEG",1
"241","splint right leg.",1
"242","Splint straps",1
"243","Splint to (L) leg",1
"244","splint to left ankle",1
"245","splint to R wrist",1
"246","Splint used to L ankle. Mellolin and bandage used",1
"247","splintage to right leg",1
"248","Splints on both legs",1
"249","splints x 2",1
"250","standard ambulance splint",1
"251","straps",1
"252","Stretcher & scoop",1
"253","Suction splint",1
"254","Suction splints to both legs",1
"255","Temp splint R ankle",1
"256","The patients right leg was put in a splint.",1
"257","Thomas Splint",1
"258","to pelvis and limbs",1
"259","traction",5
"260","Traction",2
"261","TRACTION",2
"262","Traction and splinting",1
"263","traction splint",5
"264","Traction splint",9
"265","Traction Splint",3
"266","TRACTION SPLINT",3
"267","Traction splint (R) leg",1
"268","traction splint right leg",1
"269","Traction splint right leg",1
"270","Traction splint Rt Femur",1
"271","Traction splint to Rt femur",1
"272","Traction Splint.",1
"273","traction splintage for compound # right femur",1
"274","Triangular Bandage",1
"275","TRIANGULAR BANDAGES",1
"276","two arm splints",1
"277","unspecified",1
"278","Vac",1
"279","Vac  Trac  Trian  Other Frac Refus",1
"280","vac splint",2
"281","Vac splint",1
"282","vac splint applied",1
"283","Vac splint applied by ambulance crew",1
"284","Vac splint applied to left lower leg",1
"285","vaccum splint",3
"286","Vaccum splint",1
"287","VACCUM SPLINT",2
"288","vacum",1
"289","vacum splint",1
"290","Vacum splint",1
"291","Vacusplint",3
"292","vacuum",3
"293","Vacuum",2
"294","VACUUM",2
"295","vacuum and kendrick",1
"296","vacuum splint",7
"297","Vacuum splint",12
"298","Vacuum Splint",1
"299","VACUUM SPLINT",7
"300","Vacuum splint + traction",1
"301","Vacuum splint applied.",1
"302","Vacuum splint for wrist",1
"303","Vacuum splint L lower leg",1
"304","vacuum splint left arm",1
"305","Vacuum splint Lt arm/Lt leg",1
"306","Vacuum splint right arm",1
"307","Vacuum splint Rt wrist",1
"308","vacuum splint to arm",1
"309","vacuum splint to imobolise",1
"310","Vacuum splint to Rt ankle",1
"311","Vacuum splint to support leg",2
"312","Vacuum splints",1
"313","Vacuum splints both legs",1
"314","various",1
"315","Wrist",1
"316","(Missing)",165847
