"","Column","Freq_NA"
"1","OUT_STAY_LEN",3575
"2","PATIENT_AGE",0
"3","ISS_x",0
"4","ASSESS_OXIMETER_SAT",8293
"5","ASSESS_RESP_RATE_VAL",0
"6","ASSESS_PULSE_VAL",0
"7","ASSESS_GCS_TOTAL",0
"8","ASSESS_DIABP_VAL",5280
"9","ASSESS_SYSBP_VAL",0
"10","ASSESS_GCS_EYE",14
"11","ASSESS_GCS_MOTOR",0
"12","ASSESS_GCS_VERBAL",12
"13","FLUID_VOL",157964
"14","CCARE_DAYS_IN_UNIT",133744
"15","ASSESS_GCS_LEFT_EYE",164622
"16","ASSESS_GCS_RIGHT_EYE",164624
"17","AT_DISCHARGE_OUT_STAY_LEN",162885
"18","TRANEXAMIC ACID_VOL",160178
"19","BLOOD PRODUCTS IN FIRST 24 HOURS_FLUID_UNITS",165929
"20","SubmissionID",0
"21","ISS_y",0
"22","Head",0
"23","Face",0
"24","Chest",0
"25","Abdomen",0
"26","Pelvis",0
"27","Spine",0
"28","Limb",0
"29","Other",0
"30","lsicount_lerner_time",0
"31","lsicount_peads",166459
