"","Var1","Freq"
"1","2008-01-01",1
"2","2008-01-11",1
"3","2008-01-24",1
"4","2008-02-18",1
"5","2008-02-19",1
"6","2008-03-01",1
"7","2008-03-04",1
"8","2008-03-05",1
"9","2008-03-26",1
"10","2008-04-04",1
"11","2008-04-19",1
"12","2008-04-20",1
"13","2008-05-04",1
"14","2008-05-09",1
"15","2008-05-13",1
"16","2008-05-22",1
"17","2008-06-06",1
"18","2008-06-18",1
"19","2008-06-28",1
"20","2008-07-16",1
"21","2008-08-07",1
"22","2008-08-23",1
"23","2008-08-28",1
"24","2008-09-03",1
"25","2008-09-04",1
"26","2008-09-20",1
"27","2008-09-23",1
"28","2008-10-29",1
"29","2008-11-10",1
"30","2008-11-28",1
"31","2008-12-11",1
"32","2008-12-16",1
"33","2008-12-26",1
"34","2008-12-31",1
"35","2009-01-22",1
"36","2009-02-07",1
"37","2009-02-12",1
"38","2009-03-03",1
"39","2009-03-07",1
"40","2009-03-10",1
"41","2009-03-16",1
"42","2009-03-29",1
"43","2009-04-07",1
"44","2009-04-15",1
"45","2009-06-12",1
"46","2009-06-20",1
"47","2009-06-22",1
"48","2009-07-13",1
"49","2009-07-16",1
"50","2009-07-18",1
"51","2009-08-10",1
"52","2009-08-22",1
"53","2009-12-15",1
"54","2010-02-17",1
"55","2010-03-12",1
"56","2010-05-14",1
"57","2010-06-17",1
"58","2010-09-29",1
"59","2010-11-18",1
"60","2011-01-06",1
"61","2011-02-08",1
"62","2011-03-17",1
"63","2011-05-08",1
"64","2011-06-09",1
"65","2011-06-10",1
"66","2011-10-19",1
"67","2012-04-02",1
"68","2012-05-07",1
"69","2013-01-11",1
"70","2013-08-25",1
"71","2014-04-10",1
"72","2015-10-13",1
"73","2016-03-15",1
"74","2017-05-30",1
"75","2017-08-06",1
"76","2017-11-15",1
"77","(Missing)",319574
