"","Var1","Freq"
"1","-0",1
"2","-2",853
"3","-3",10
"4","-4",3
"5","-5",1
"6","-8",1
"7","    <2",1
"8","  <2secs",1
"9"," <2",3
"10"," > 10",1
"11"," 2",1
"12"," 2 seconds",1
"13"," 2 secs",1
"14"," 3 seconds",1
"15"," LESS 2",1
"16"," less than 2",4
"17"," less than 2 seconds",1
"18"," more than 2 seconds",1
"19"," under 2",1
"20","#,2sec",1
"21",", 2 seconds",1
"22",",<2",3
"23",",2",33
"24",",2sec",1
"25",".>2",1
"26",".2",2
"27","\\,2sec",1
"28","+2",24
"29","+3",1
"30","+4",2
"31","<",53
"32","< :2s",1
"33","< :2S",1
"34","< 1",3
"35","< 1 SECOND",1
"36","< 2",276
"37","< 2 mm",3
"38","< 2 sces",1
"39","< 2 sec",65
"40","< 2 Sec",2
"41","< 2 seconds",26
"42","< 2 SECONDS",22
"43","< 2 secs",46
"44","< 2 Secs",1
"45","< 2 SECS",3
"46","< 2sec",4
"47","< 2seconds",2
"48","< 2secs",13
"49","< 2SECS",1
"50","< 3",6
"51","< 4",1
"52","<""",1
"53","<,2",1
"54","<>:/5",1
"55","<02",2
"56","<1",15
"57","<1 sec",1
"58","<12",2
"59","<2",27838
"60","<2 days",1
"61","<2 sec",15
"62","<2 seconds",177
"63","<2 Seconds",1
"64","<2 SECONDS",4
"65","<2 secs",561
"66","<2 Secs",11
"67","<2 SECS",5
"68","<2 ses",1
"69","<2.",21
"70","<2:-5",1
"71","<2:.5",1
"72","<2:/3",1
"73","<20",4
"74","<21",1
"75","<22",1
"76","<2s",259
"77","<2S",64
"78","<2sec",155
"79","<2SEC",5
"80","<2seconds",57
"81","<2SECONDS",2
"82","<2secs",719
"83","<2Secs",3
"84","<2SECS",2
"85","<3",137
"86","<3 sec",1
"87","<3 seconds",1
"88","<3 secs",1
"89","<3secs",1
"90","<4",16
"91","<5",3
"92","<50",1
"93","<52",1
"94","<6",3
"95","<60",1
"96","=4",1
"97",">",4
"98","> 2",18
"99","> 2 sec",4
"100","> 2 seconds",6
"101","> 2 secs",5
"102","> 3",3
"103",">10 secs",1
"104",">2",1740
"105",">2 sec",20
"106",">2 seconds",14
"107",">2 secs",22
"108",">2 SECS",1
"109",">2.",1
"110",">2:-3",1
"111",">2:.5",1
"112",">25",1
"113",">2s",9
"114",">2S",4
"115",">2sec",11
"116",">2SEC",1
"117",">2seconds",5
"118",">2secs",89
"119",">2SECS",1
"120",">3",76
"121",">4",13
"122",">5",17
"123",">6",1
"124",">6 secs",1
"125","0",14
"126","0.:43",1
"127","0.5",2
"128","01",2
"129","02",24
"130","02 c + p",1
"131","02 secs",1
"132","03",2
"133","05 RIGHT FOOT",1
"134","1",4372
"135","1-2",261
"136","1-5",1
"137","1 sec",1
"138","1 SEC",1
"139","1 second",1
"140","1.3",1
"141","1.5",6
"142","1.9",1
"143","10",5
"144","12",5
"145","15",3
"146","1s:ec",1
"147","2",41518
"148","2- 5 SECONDS",1
"149","2-:58",1
"150","2-3",22
"151","2-3secs",2
"152","2-5",647
"153","2-5 seconds",73
"154","2-5 Seconds",5
"155","2-5 SECONDS",10
"156","2-5 secs",2
"157","2-5 secs.",1
"158","2-5 sesonds",1
"159","2 - 5",2
"160","2 - 5 seconds",6
