"","Var1","Freq"
"1","0",651
"2","2",1
"3","4",1
"4","5",2
"5","6",2
"6","7",2
"7","8",1
"8","9",3
"9","10",2
"10","11",3
"11","12",2
"12","14",4
"13","15",8
"14","16",20
"15","17",1
"16","18",19
"17","19",5
"18","20",19
"19","21",2
"20","22",4
"21","23",1
"22","24",11
"23","25",2
"24","26",4
"25","27",1
"26","28",7
"27","29",3
"28","30",4
"29","32",5
"30","33",1
"31","34",2
"32","35",3
"33","36",2
"34","37",1
"35","38",1
"36","39",2
"37","40",5
"38","42",2
"39","43",2
"40","44",4
"41","45",7
"42","46",2
"43","47",3
"44","48",5
"45","49",4
"46","50",87
"47","51",8
"48","52",9
"49","53",3
"50","54",16
"51","55",19
"52","56",16
"53","57",11
"54","58",13
"55","59",8
"56","60",80
"57","61",12
"58","62",26
"59","63",16
"60","64",40
"61","65",46
"62","66",48
"63","67",32
"64","68",73
"65","69",56
"66","70",186
"67","71",65
"68","72",125
"69","73",80
"70","74",183
"71","75",182
"72","76",187
"73","77",204
"74","78",291
"75","79",258
"76","80",764
"77","81",336
"78","82",613
"79","83",562
"80","84",953
"81","85",1001
"82","86",1069
"83","87",942
"84","88",2328
"85","89",1890
"86","90",3785
"87","91",2982
"88","92",5505
"89","93",5927
"90","94",13136
"91","95",18756
"92","96",27898
"93","97",29933
"94","98",39388
"95","99",28516
"96","100",28885
