"","Var1","Freq"
"1","1",648
"2","2",119
"3","3",758
"4","4",896
"5","5",690
"6","6",565
"7","7",479
"8","8",415
"9","9",353
"10","10",342
"11","11",296
"12","12",265
"13","13",227
"14","14",227
"15","15",175
"16","16",182
"17","17",134
"18","18",143
"19","19",134
"20","20",119
"21","21",99
"22","22",97
"23","23",91
"24","24",76
"25","25",83
"26","26",76
"27","27",70
"28","28",54
"29","29",46
"30","30",60
"31","31",56
"32","32",44
"33","33",42
"34","34",49
"35","35",41
"36","36",35
"37","37",20
"38","38",22
"39","39",24
"40","40",23
"41","41",31
"42","42",13
"43","43",22
"44","44",17
"45","45",27
"46","46",20
"47","47",28
"48","48",15
"49","49",20
"50","50",11
"51","51",18
"52","52",17
"53","53",23
"54","54",8
"55","55",14
"56","56",11
"57","57",7
"58","58",2
"59","59",10
"60","60",7
"61","61",10
"62","62",10
"63","63",11
"64","64",7
"65","65",12
"66","66",8
"67","67",7
"68","68",2
"69","69",6
"70","70",7
"71","71",9
"72","72",8
"73","73",8
"74","74",2
"75","75",6
"76","76",4
"77","77",4
"78","78",1
"79","79",3
"80","80",5
"81","81",3
"82","82",2
"83","83",1
"84","84",2
"85","85",3
"86","86",1
"87","87",8
"88","88",2
"89","89",4
"90","90",3
"91","91",3
"92","93",1
"93","94",4
"94","95",1
"95","96",2
"96","97",1
"97","98",6
"98","99",1
"99","101",1
"100","105",4
"101","106",1
"102","108",2
"103","109",2
"104","110",1
"105","111",1
"106","112",2
"107","117",1
"108","119",1
"109","120",1
"110","123",1
"111","126",1
"112","129",3
"113","131",1
"114","136",2
"115","142",1
"116","147",1
"117","153",1
"118","158",2
"119","159",1
"120","160",1
"121","188",1
"122","191",1
"123","202",1
"124","214",1
"125","221",1
"126","238",1
"127","242",1
"128","282",1
"129","342",1
