"","Var1","Freq"
"1","2008-01-05",1
"2","2008-01-28",1
"3","2008-01-31",1
"4","2008-02-13",1
"5","2008-03-14",1
"6","2008-03-20",1
"7","2008-03-25",2
"8","2008-03-27",1
"9","2008-04-06",1
"10","2008-04-10",1
"11","2008-04-11",1
"12","2008-04-26",1
"13","2008-05-11",1
"14","2008-05-17",1
"15","2008-05-24",1
"16","2008-05-31",1
"17","2008-06-01",1
"18","2008-06-17",1
"19","2008-07-09",1
"20","2008-07-12",1
"21","2008-07-13",1
"22","2008-07-19",1
"23","2008-08-16",1
"24","2008-08-17",1
"25","2008-08-24",1
"26","2008-09-02",1
"27","2008-09-04",1
"28","2008-09-28",1
"29","2008-10-15",1
"30","2008-10-22",1
"31","2008-11-10",2
"32","2008-12-26",1
"33","2008-12-29",1
"34","2009-01-01",1
"35","2009-01-05",1
"36","2009-01-21",1
"37","2009-02-11",1
"38","2009-03-03",1
"39","2009-03-10",1
"40","2009-03-12",1
"41","2009-03-14",2
"42","2009-03-29",2
"43","2009-04-13",1
"44","2009-04-17",1
"45","2009-04-20",1
"46","2009-04-24",1
"47","2009-05-12",1
"48","2009-05-16",1
"49","2009-05-17",1
"50","2009-05-21",1
"51","2009-05-25",1
"52","2009-05-30",1
"53","2009-06-05",1
"54","2009-06-07",1
"55","2009-06-08",2
"56","2009-06-13",1
"57","2009-06-22",1
"58","2009-06-24",1
"59","2009-06-27",1
"60","2009-07-07",1
"61","2009-07-09",1
"62","2009-07-10",1
"63","2009-07-25",1
"64","2009-07-30",1
"65","2009-08-10",1
"66","2009-08-12",1
"67","2009-08-18",1
"68","2009-08-20",1
"69","2009-08-31",1
"70","2009-09-07",2
"71","2009-09-08",1
"72","2009-09-16",2
"73","2009-09-20",1
"74","2009-09-27",1
"75","2009-10-09",1
"76","2009-10-10",1
"77","2009-10-17",1
"78","2009-10-31",1
"79","2009-11-12",1
"80","2009-11-13",1
"81","2009-11-20",1
"82","2009-11-21",1
"83","2009-11-22",1
"84","2009-12-28",1
"85","2009-12-30",1
"86","2010-01-06",1
"87","2010-01-08",1
"88","2010-01-10",2
"89","2010-01-17",2
"90","2010-01-18",1
"91","2010-01-22",1
"92","2010-01-24",1
"93","2010-02-01",1
"94","2010-02-18",1
"95","2010-02-28",2
"96","2010-03-03",2
"97","2010-03-05",1
"98","2010-03-22",1
"99","2010-03-24",1
"100","2010-03-26",1
"101","2010-03-28",1
"102","2010-04-04",2
"103","2010-04-06",1
"104","2010-04-10",1
"105","2010-04-14",2
"106","2010-04-17",1
"107","2010-04-18",1
"108","2010-04-23",1
"109","2010-04-24",1
"110","2010-04-27",1
