"","Var1","Freq"
"1","2004-04-25",1
"2","2007-06-22",1
"3","2008-01-01",8
"4","2008-01-02",1
"5","2008-01-03",2
"6","2008-01-04",3
"7","2008-01-05",1
"8","2008-01-06",2
"9","2008-01-07",1
"10","2008-01-08",3
"11","2008-01-09",1
"12","2008-01-10",3
"13","2008-01-11",3
"14","2008-01-12",7
"15","2008-01-16",6
"16","2008-01-17",3
"17","2008-01-18",3
"18","2008-01-19",5
"19","2008-01-20",3
"20","2008-01-21",1
"21","2008-01-22",3
"22","2008-01-23",4
"23","2008-01-24",1
"24","2008-01-25",2
"25","2008-01-26",6
"26","2008-01-27",2
"27","2008-01-28",2
"28","2008-01-29",5
"29","2008-01-30",2
"30","2008-01-31",5
"31","2008-02-01",1
"32","2008-02-02",3
"33","2008-02-03",2
"34","2008-02-04",1
"35","2008-02-05",3
"36","2008-02-06",2
"37","2008-02-07",3
"38","2008-02-08",3
"39","2008-02-09",4
"40","2008-02-10",9
"41","2008-02-11",5
"42","2008-02-12",3
"43","2008-02-13",3
"44","2008-02-14",2
"45","2008-02-15",1
"46","2008-02-16",5
"47","2008-02-17",4
"48","2008-02-18",5
"49","2008-02-20",3
"50","2008-02-21",3
"51","2008-02-22",7
"52","2008-02-23",5
"53","2008-02-24",5
"54","2008-02-25",5
"55","2008-02-26",2
"56","2008-02-27",5
"57","2008-02-28",3
"58","2008-02-29",2
"59","2008-03-01",3
"60","2008-03-02",5
"61","2008-03-03",4
"62","2008-03-04",4
"63","2008-03-05",2
"64","2008-03-06",1
"65","2008-03-07",3
"66","2008-03-08",3
"67","2008-03-09",2
"68","2008-03-10",2
"69","2008-03-11",4
"70","2008-03-12",2
"71","2008-03-13",1
"72","2008-03-14",2
"73","2008-03-15",3
"74","2008-03-16",5
"75","2008-03-17",2
"76","2008-03-18",1
"77","2008-03-19",2
"78","2008-03-20",4
"79","2008-03-21",3
"80","2008-03-22",2
"81","2008-03-24",3
"82","2008-03-25",1
"83","2008-03-26",2
"84","2008-03-27",2
"85","2008-03-28",3
"86","2008-03-29",3
"87","2008-03-30",2
"88","2008-03-31",2
"89","2008-04-01",4
"90","2008-04-02",3
"91","2008-04-03",4
"92","2008-04-04",3
"93","2008-04-05",5
"94","2008-04-06",5
"95","2008-04-07",3
"96","2008-04-08",1
"97","2008-04-09",1
"98","2008-04-10",4
"99","2008-04-11",2
"100","2008-04-12",3
"101","2008-04-13",4
"102","2008-04-14",4
"103","2008-04-15",5
"104","2008-04-16",3
"105","2008-04-18",6
"106","2008-04-19",4
"107","2008-04-20",2
"108","2008-04-21",1
"109","2008-04-22",3
"110","2008-04-23",1
"111","2008-04-24",4
"112","2008-04-25",3
"113","2008-04-26",3
"114","2008-04-27",5
"115","2008-04-29",1
"116","2008-04-30",4
"117","2008-05-01",1
"118","2008-05-02",4
"119","2008-05-03",1
"120","2008-05-04",1
"121","2008-05-05",12
"122","2008-05-06",6
"123","2008-05-07",6
"124","2008-05-08",3
"125","2008-05-09",4
"126","2008-05-10",6
"127","2008-05-11",5
"128","2008-05-12",8
"129","2008-05-13",2
"130","2008-05-14",3
"131","2008-05-15",3
"132","2008-05-16",1
"133","2008-05-17",4
"134","2008-05-18",3
"135","2008-05-19",5
"136","2008-05-20",2
"137","2008-05-21",5
"138","2008-05-22",4
"139","2008-05-23",2
"140","2008-05-24",4
"141","2008-05-25",11
"142","2008-05-26",5
"143","2008-05-27",6
"144","2008-05-28",3
"145","2008-05-29",3
"146","2008-05-30",5
"147","2008-05-31",1
"148","2008-06-01",6
"149","2008-06-02",2
"150","2008-06-03",2
"151","2008-06-04",1
"152","2008-06-05",4
"153","2008-06-06",3
"154","2008-06-07",2
"155","2008-06-08",6
"156","2008-06-09",6
"157","2008-06-10",3
"158","2008-06-11",3
"159","2008-06-12",1
"160","2008-06-13",2
"161","2008-06-14",2
"162","2008-06-15",7
"163","2008-06-16",2
"164","2008-06-17",5
"165","2008-06-18",1
"166","2008-06-19",6
"167","2008-06-20",1
"168","2008-06-21",6
"169","2008-06-22",3
"170","2008-06-23",1
"171","2008-06-24",1
"172","2008-06-25",4
"173","2008-06-26",1
"174","2008-06-27",3
"175","2008-06-28",2
"176","2008-06-29",4
"177","2008-06-30",2
"178","2008-07-01",2
"179","2008-07-02",1
"180","2008-07-03",2
"181","2008-07-04",2
"182","2008-07-05",4
"183","2008-07-06",6
"184","2008-07-07",1
"185","2008-07-08",1
"186","2008-07-09",3
"187","2008-07-10",3
"188","2008-07-11",2
"189","2008-07-13",4
"190","2008-07-14",4
"191","2008-07-15",1
"192","2008-07-16",3
"193","2008-07-17",4
"194","2008-07-18",5
"195","2008-07-19",5
"196","2008-07-20",2
"197","2008-07-21",2
"198","2008-07-22",3
"199","2008-07-23",3
"200","2008-07-24",4
"201","2008-07-25",2
"202","2008-07-26",6
"203","2008-07-27",2
"204","2008-07-28",6
"205","2008-07-29",4
"206","2008-07-30",3
"207","2008-07-31",1
"208","2008-08-01",7
"209","2008-08-02",6
"210","2008-08-03",2
"211","2008-08-06",4
"212","2008-08-07",1
"213","2008-08-08",2
"214","2008-08-09",3
"215","2008-08-10",6
"216","2008-08-11",3
"217","2008-08-12",2
"218","2008-08-13",2
"219","2008-08-14",3
"220","2008-08-15",4
"221","2008-08-16",2
"222","2008-08-17",4
"223","2008-08-19",1
"224","2008-08-20",5
"225","2008-08-22",4
"226","2008-08-23",3
"227","2008-08-24",3
"228","2008-08-25",9
"229","2008-08-26",4
"230","2008-08-27",2
"231","2008-08-28",4
"232","2008-08-29",1
"233","2008-08-30",2
"234","2008-08-31",2
"235","2008-09-01",3
"236","2008-09-02",4
"237","2008-09-03",3
"238","2008-09-04",4
"239","2008-09-05",1
"240","2008-09-06",3
"241","2008-09-07",9
"242","2008-09-08",5
"243","2008-09-09",7
"244","2008-09-10",4
