"","Var1","Freq"
"1","0",17199
"2","1",15049
"3","2",6643
"4","3",4648
"5","4",3430
"6","5",2670
"7","6",2027
"8","7",1554
"9","8",1305
"10","9",1102
"11","10",958
"12","11",760
"13","12",682
"14","13",661
"15","14",567
"16","15",517
"17","16",461
"18","17",424
"19","18",449
"20","19",372
"21","20",324
"22","21",295
"23","22",273
"24","23",273
"25","24",236
"26","25",217
"27","26",168
"28","27",170
"29","28",145
"30","29",118
"31","30",127
"32","31",116
"33","32",87
"34","33",93
"35","34",73
"36","35",82
"37","36",64
"38","37",47
"39","38",61
"40","39",43
"41","40",30
"42","41",42
"43","42",37
"44","43",34
"45","44",37
"46","45",27
"47","46",26
"48","47",19
"49","48",19
"50","49",27
"51","50",16
"52","51",13
"53","52",17
"54","53",13
"55","54",11
"56","55",5
"57","56",10
"58","57",8
"59","58",10
"60","59",7
"61","60",3
"62","61",6
"63","62",6
"64","63",8
"65","64",4
"66","65",7
"67","66",5
"68","67",2
"69","68",4
"70","69",2
"71","70",3
"72","71",5
"73","72",7
"74","73",4
"75","74",4
"76","75",2
"77","76",5
"78","77",4
"79","78",1
"80","79",4
"81","80",6
"82","81",2
"83","82",4
"84","83",4
"85","84",6
"86","85",2
"87","86",1
"88","87",1
"89","88",2
"90","89",3
"91","90",1
"92","92",1
"93","93",3
"94","94",1
"95","95",2
"96","96",3
"97","97",3
"98","98",1
"99","99",3
"100","100",1
"101","101",1
"102","102",1
"103","103",2
"104","105",1
"105","106",1
"106","108",1
"107","109",1
"108","111",1
"109","112",1
"110","114",1
"111","115",2
"112","116",1
"113","117",1
"114","118",1
"115","119",1
"116","120",2
"117","121",1
"118","123",1
"119","127",1
"120","129",1
"121","130",1
"122","131",1
"123","137",1
"124","152",1
"125","160",1
"126","165",1
"127","166",1
"128","167",1
"129","169",1
"130","175",1
"131","177",1
"132","189",1
"133","196",1
"134","197",2
"135","200",2
"136","230",1
"137","240",1
"138","242",1
"139","247",1
"140","398",1
