"","Var1","Freq"
"1","2008-01-02",1
"2","2008-01-04",1
"3","2008-01-05",1
"4","2008-01-07",2
"5","2008-01-10",4
"6","2008-01-11",2
"7","2008-01-12",1
"8","2008-01-13",1
"9","2008-01-14",1
"10","2008-01-15",1
"11","2008-01-16",1
"12","2008-01-17",2
"13","2008-01-19",2
"14","2008-01-21",2
"15","2008-01-22",1
"16","2008-01-24",4
"17","2008-01-25",1
"18","2008-01-26",1
"19","2008-01-27",2
"20","2008-01-28",3
"21","2008-01-29",2
"22","2008-01-30",1
"23","2008-01-31",1
"24","2008-02-01",2
"25","2008-02-02",1
"26","2008-02-04",1
"27","2008-02-06",1
"28","2008-02-12",2
"29","2008-02-14",1
"30","2008-02-18",1
"31","2008-02-20",1
"32","2008-02-21",1
"33","2008-02-25",1
"34","2008-02-28",2
"35","2008-02-29",1
"36","2008-03-14",1
"37","2008-04-10",1
"38","2008-04-19",1
"39","2008-05-03",1
"40","2008-05-07",1
"41","2008-05-20",1
"42","2008-05-21",1
"43","2008-06-01",1
"44","2008-06-28",1
"45","2008-07-07",1
"46","2008-07-15",1
"47","2008-08-18",1
"48","2008-08-19",1
"49","2008-08-28",1
"50","2008-08-29",1
"51","2008-09-18",1
"52","2008-10-13",1
"53","2008-10-20",1
"54","2008-10-25",1
"55","2008-10-26",1
"56","2008-11-03",1
"57","2008-11-11",1
"58","2008-11-16",1
"59","2008-11-21",1
"60","2008-12-01",1
"61","2008-12-10",1
"62","2008-12-15",2
"63","2009-01-01",3
"64","2009-01-02",1
"65","2009-01-03",4
"66","2009-01-04",3
"67","2009-01-06",1
"68","2009-01-08",2
"69","2009-01-09",2
"70","2009-01-10",1
"71","2009-01-12",1
"72","2009-01-13",1
"73","2009-01-14",4
"74","2009-01-15",1
"75","2009-01-16",2
"76","2009-01-17",3
"77","2009-01-19",1
"78","2009-01-20",1
"79","2009-01-21",4
"80","2009-01-22",2
"81","2009-01-23",1
"82","2009-01-24",2
"83","2009-01-25",3
"84","2009-01-26",1
"85","2009-01-27",4
"86","2009-01-28",4
"87","2009-01-29",1
"88","2009-01-30",6
"89","2009-01-31",3
"90","2009-02-01",1
"91","2009-02-02",2
"92","2009-02-03",3
"93","2009-02-05",1
"94","2009-02-06",1
"95","2009-02-07",3
"96","2009-02-11",1
"97","2009-02-13",2
"98","2009-02-15",1
"99","2009-02-19",1
"100","2009-02-20",1
"101","2009-02-22",4
"102","2009-02-23",4
"103","2009-02-24",2
"104","2009-02-25",4
"105","2009-02-26",2
"106","2009-02-28",4
"107","2009-03-01",3
"108","2009-03-02",1
"109","2009-03-03",2
"110","2009-03-04",2
"111","2009-03-05",1
"112","2009-03-06",1
"113","2009-03-07",2
"114","2009-03-09",1
"115","2009-03-10",3
"116","2009-03-11",1
"117","2009-03-12",1
"118","2009-03-17",1
"119","2009-03-19",2
"120","2009-03-27",1
"121","2009-03-28",1
"122","2009-03-29",2
"123","2009-03-31",1
"124","2009-04-02",1
"125","2009-04-05",1
"126","2009-04-06",1
"127","2009-04-07",1
"128","2009-04-08",2
"129","2009-04-09",1
"130","2009-04-11",1
"131","2009-04-14",1
"132","2009-04-16",1
"133","2009-04-17",3
"134","2009-04-18",1
"135","2009-04-22",1
"136","2009-04-24",1
"137","2009-04-26",2
"138","2009-04-27",1
"139","2009-05-01",1
"140","2009-05-02",1
"141","2009-05-06",1
"142","2009-05-11",2
"143","2009-05-12",1
"144","2009-05-14",1
"145","2009-05-15",2
"146","2009-05-16",1
"147","2009-05-19",1
"148","2009-05-20",2
"149","2009-05-24",1
"150","2009-05-26",2
"151","2009-05-27",1
"152","2009-05-28",1
"153","2009-05-29",1
"154","2009-06-01",1
"155","2009-06-02",1
"156","2009-06-03",1
"157","2009-06-11",2
"158","2009-06-12",1
"159","2009-06-16",1
"160","2009-06-17",1
"161","2009-06-19",1
"162","2009-06-22",1
"163","2009-06-23",1
"164","2009-06-24",1
"165","2009-06-25",1
"166","2009-06-27",1
"167","2009-07-01",2
"168","2009-07-02",1
"169","2009-07-05",1
"170","2009-07-07",1
"171","2009-07-11",1
"172","2009-07-12",2
"173","2009-07-13",2
"174","2009-07-17",1
"175","2009-07-21",1
"176","2009-07-27",1
"177","2009-07-30",2
"178","2009-07-31",1
"179","2009-08-04",1
"180","2009-08-05",1
"181","2009-08-08",1
"182","2009-08-09",1
"183","2009-08-11",2
"184","2009-08-13",1
"185","2009-08-17",1
"186","2009-08-18",2
"187","2009-08-19",1
"188","2009-08-22",2
"189","2009-08-23",1
"190","2009-08-25",2
"191","2009-08-26",1
"192","2009-08-27",1
"193","2009-08-28",1
"194","2009-08-29",3
"195","2009-08-31",3
"196","2009-09-05",2
"197","2009-09-07",1
"198","2009-09-08",1
"199","2009-09-11",1
"200","2009-09-20",1
"201","2009-09-21",2
"202","2009-09-22",1
"203","2009-09-24",2
"204","2009-09-26",1
"205","2009-09-29",1
"206","2009-09-30",3
"207","2009-10-02",2
"208","2009-10-06",1
"209","2009-10-09",1
"210","2009-10-10",2
"211","2009-10-12",1
