"","Var1","Freq"
"1","00:01:00",45
"2","00:02:00",7
"3","00:03:00",6
"4","00:04:00",12
"5","00:05:00",31
"6","00:06:00",8
"7","00:07:00",7
"8","00:08:00",6
"9","00:09:00",8
"10","00:10:00",38
"11","00:11:00",5
"12","00:12:00",10
"13","00:13:00",10
"14","00:14:00",7
"15","00:15:00",44
"16","00:16:00",9
"17","00:17:00",6
"18","00:18:00",10
"19","00:19:00",6
"20","00:20:00",33
"21","00:21:00",4
"22","00:22:00",8
"23","00:23:00",13
"24","00:24:00",4
"25","00:25:00",19
"26","00:26:00",2
"27","00:27:00",4
"28","00:28:00",7
"29","00:29:00",4
"30","00:30:00",74
"31","00:31:00",2
"32","00:32:00",4
"33","00:33:00",6
"34","00:34:00",7
"35","00:35:00",15
"36","00:36:00",8
"37","00:37:00",1
"38","00:38:00",4
"39","00:39:00",7
"40","00:40:00",35
"41","00:41:00",8
"42","00:42:00",6
"43","00:43:00",7
"44","00:44:00",8
"45","00:45:00",31
"46","00:46:00",7
"47","00:47:00",7
"48","00:48:00",10
"49","00:49:00",3
"50","00:50:00",30
"51","00:51:00",6
"52","00:52:00",5
"53","00:53:00",7
"54","00:54:00",6
"55","00:55:00",9
"56","00:56:00",3
"57","00:57:00",4
"58","00:58:00",6
"59","00:59:00",8
"60","01:00:00",81
"61","01:01:00",3
"62","01:02:00",3
"63","01:03:00",4
"64","01:04:00",6
"65","01:05:00",17
"66","01:06:00",5
"67","01:07:00",5
"68","01:08:00",7
"69","01:09:00",3
"70","01:10:00",18
"71","01:11:00",8
"72","01:12:00",6
"73","01:13:00",5
"74","01:14:00",4
"75","01:15:00",24
"76","01:16:00",5
"77","01:17:00",3
"78","01:18:00",5
"79","01:19:00",6
"80","01:20:00",23
"81","01:21:00",5
"82","01:22:00",7
"83","01:23:00",1
"84","01:24:00",6
"85","01:25:00",16
"86","01:26:00",6
"87","01:27:00",5
"88","01:28:00",4
"89","01:29:00",4
"90","01:30:00",74
"91","01:31:00",4
"92","01:32:00",3
"93","01:33:00",6
"94","01:34:00",4
"95","01:35:00",7
"96","01:36:00",4
"97","01:37:00",2
"98","01:38:00",7
"99","01:39:00",4
"100","01:40:00",30
"101","01:41:00",4
"102","01:42:00",5
"103","01:43:00",5
"104","01:44:00",8
"105","01:45:00",32
"106","01:46:00",8
"107","01:47:00",9
"108","01:48:00",2
"109","01:49:00",1
"110","01:50:00",17
"111","01:51:00",7
"112","01:52:00",1
"113","01:53:00",2
"114","01:54:00",1
"115","01:55:00",8
"116","01:56:00",5
"117","01:57:00",1
"118","01:58:00",4
"119","01:59:00",6
"120","02:00:00",81
"121","02:01:00",4
"122","02:02:00",8
"123","02:03:00",4
"124","02:04:00",5
"125","02:05:00",11
"126","02:06:00",5
"127","02:07:00",1
"128","02:08:00",3
"129","02:09:00",3
"130","02:10:00",20
"131","02:11:00",2
"132","02:12:00",1
"133","02:13:00",3
"134","02:14:00",2
"135","02:15:00",22
"136","02:16:00",4
"137","02:17:00",1
"138","02:19:00",6
"139","02:20:00",22
"140","02:21:00",3
"141","02:22:00",2
"142","02:23:00",2
"143","02:24:00",3
"144","02:25:00",13
"145","02:26:00",8
"146","02:27:00",4
"147","02:28:00",5
"148","02:29:00",1
"149","02:30:00",55
"150","02:31:00",4
"151","02:32:00",1
"152","02:33:00",5
"153","02:34:00",4
"154","02:35:00",10
"155","02:36:00",9
"156","02:37:00",1
"157","02:38:00",6
"158","02:39:00",3
"159","02:40:00",25
"160","02:41:00",6
"161","02:42:00",5
"162","02:43:00",4
"163","02:44:00",3
"164","02:45:00",22
"165","02:46:00",7
"166","02:47:00",3
"167","02:48:00",4
"168","02:49:00",5
"169","02:50:00",16
"170","02:51:00",6
"171","02:52:00",7
"172","02:53:00",3
"173","02:54:00",2
"174","02:55:00",13
"175","02:56:00",5
"176","02:57:00",4
"177","02:58:00",2
"178","02:59:00",3
"179","03:00:00",69
"180","03:01:00",4
"181","03:02:00",1
"182","03:03:00",2
"183","03:04:00",2
"184","03:05:00",11
"185","03:06:00",1
"186","03:07:00",5
"187","03:08:00",4
"188","03:10:00",14
"189","03:11:00",1
"190","03:12:00",1
"191","03:13:00",4
"192","03:14:00",2
"193","03:15:00",20
"194","03:16:00",2
"195","03:17:00",3
"196","03:18:00",6
"197","03:19:00",4
"198","03:20:00",21
"199","03:21:00",3
"200","03:22:00",3
"201","03:23:00",7
"202","03:24:00",1
"203","03:25:00",5
"204","03:26:00",5
"205","03:27:00",5
"206","03:28:00",2
"207","03:29:00",3
"208","03:30:00",39
"209","03:31:00",1
"210","03:32:00",7
"211","03:33:00",3
"212","03:34:00",2
"213","03:35:00",10
"214","03:36:00",5
"215","03:37:00",5
"216","03:38:00",4
"217","03:39:00",2
"218","03:40:00",12
"219","03:41:00",4
"220","03:42:00",2
"221","03:43:00",3
"222","03:44:00",2
"223","03:45:00",17
"224","03:46:00",1
"225","03:48:00",2
"226","03:49:00",5
"227","03:50:00",18
"228","03:51:00",8
"229","03:52:00",2
"230","03:53:00",5
"231","03:54:00",1
"232","03:55:00",11
"233","03:56:00",4
"234","03:57:00",5
"235","03:58:00",2
"236","03:59:00",5
"237","04:00:00",53
"238","04:01:00",7
"239","04:02:00",1
"240","04:03:00",6
"241","04:04:00",2
"242","04:05:00",12
"243","04:06:00",4
"244","04:07:00",5
"245","04:08:00",4
"246","04:09:00",2
"247","04:10:00",12
"248","04:11:00",3
"249","04:12:00",2
"250","04:13:00",3
"251","04:14:00",3
"252","04:15:00",16
"253","04:16:00",1
"254","04:17:00",2
"255","04:18:00",1
"256","04:19:00",4
"257","04:20:00",24
"258","04:21:00",2
"259","04:22:00",2
"260","04:23:00",7
"261","04:24:00",3
"262","04:25:00",9
"263","04:26:00",3
"264","04:27:00",2
"265","04:29:00",4
"266","04:30:00",38
"267","04:31:00",1
"268","04:32:00",5
"269","04:33:00",4
"270","04:34:00",5
"271","04:35:00",12
"272","04:36:00",4
"273","04:37:00",2
"274","04:38:00",5
"275","04:39:00",3
"276","04:40:00",21
"277","04:41:00",1
"278","04:42:00",5
"279","04:43:00",3
"280","04:44:00",2
"281","04:45:00",16
"282","04:46:00",4
"283","04:47:00",4
"284","04:48:00",3
"285","04:49:00",3
"286","04:50:00",15
