"","Var1","Freq"
"1","2008-01-01",1
"2","2008-01-07",1
"3","2008-01-12",1
"4","2008-01-16",1
"5","2008-01-26",1
"6","2008-01-30",1
"7","2008-01-31",1
"8","2008-02-11",1
"9","2008-02-13",1
"10","2008-02-21",1
"11","2008-02-22",1
"12","2008-02-25",1
"13","2008-03-02",2
"14","2008-03-21",1
"15","2008-03-27",1
"16","2008-03-28",1
"17","2008-03-30",1
"18","2008-04-16",1
"19","2008-04-22",1
"20","2008-04-24",1
"21","2008-05-02",1
"22","2008-05-04",1
"23","2008-05-10",1
"24","2008-05-15",2
"25","2008-05-23",1
"26","2008-05-24",1
"27","2008-05-30",1
"28","2008-06-05",1
"29","2008-06-11",1
"30","2008-06-21",1
"31","2008-06-25",1
"32","2008-06-29",1
"33","2008-07-26",1
"34","2008-07-29",1
"35","2008-07-31",1
"36","2008-09-20",1
"37","2008-10-04",1
"38","2008-11-16",1
"39","2008-11-22",1
"40","2009-02-19",1
"41","2009-02-22",1
"42","2009-02-23",1
"43","2009-03-07",1
"44","2009-03-08",1
"45","2009-03-09",1
"46","2009-03-14",1
"47","2009-03-15",1
"48","2009-03-26",1
"49","2009-04-13",1
"50","2009-04-14",1
"51","2009-04-19",1
"52","2009-04-26",1
"53","2009-04-27",1
"54","2009-05-01",1
"55","2009-05-10",1
"56","2009-05-23",2
"57","2009-06-02",2
"58","2009-06-08",2
"59","2009-06-10",1
"60","2009-06-17",1
"61","2009-06-23",1
"62","2009-06-26",1
"63","2009-06-28",1
"64","2009-06-29",1
"65","2009-07-04",1
"66","2009-07-05",1
"67","2009-07-12",1
"68","2009-07-17",1
"69","2009-07-24",2
"70","2009-07-26",1
"71","2009-07-30",1
"72","2009-08-01",1
"73","2009-08-04",1
"74","2009-08-12",1
"75","2009-08-18",1
"76","2009-08-23",1
"77","2009-09-12",1
"78","2009-09-23",1
"79","2009-09-26",1
"80","2009-10-02",1
"81","2009-10-06",1
"82","2009-10-15",1
"83","2009-10-31",1
"84","2009-11-13",1
"85","2009-11-29",1
"86","2009-12-19",1
"87","2009-12-22",1
"88","2010-01-05",1
"89","2010-01-22",1
"90","2010-01-24",1
"91","2010-02-09",1
"92","2010-03-17",1
"93","2010-04-04",2
"94","2010-04-16",1
"95","2010-04-29",1
"96","2010-05-06",1
"97","2010-05-09",1
"98","2010-05-16",1
"99","2010-05-31",1
"100","2010-06-02",1
"101","2010-06-09",1
"102","2010-06-15",1
"103","2010-06-17",1
"104","2010-06-26",1
"105","2010-07-19",1
"106","2010-07-27",1
"107","2010-08-06",1
"108","2010-08-15",1
"109","2010-08-21",2
"110","2010-08-22",1
"111","2010-09-29",1
"112","2010-10-06",1
"113","2010-10-08",2
"114","2010-10-09",1
"115","2010-10-14",1
"116","2010-10-25",1
"117","2010-10-30",1
"118","2010-11-07",1
"119","2010-11-17",1
"120","2010-12-01",1
"121","2011-01-01",4
"122","2011-01-23",1
"123","2011-01-25",1
"124","2011-01-26",1
"125","2011-01-30",1
"126","2011-02-16",1
"127","2011-02-28",1
"128","2011-03-05",1
"129","2011-03-13",1
"130","2011-04-09",1
"131","2011-04-10",1
"132","2011-04-24",1
"133","2011-05-01",1
"134","2011-05-10",1
"135","2011-05-13",2
"136","2011-05-23",1
"137","2011-05-29",1
"138","2011-05-30",1
"139","2011-06-10",1
"140","2011-06-11",2
"141","2011-06-19",1
"142","2011-06-23",1
"143","2011-06-26",1
"144","2011-07-14",1
"145","2011-07-16",1
"146","2011-07-20",1
"147","2011-08-01",1
"148","2011-08-03",1
"149","2011-08-12",1
"150","2011-08-15",1
"151","2011-08-26",1
"152","2011-08-31",1
"153","2011-09-01",1
"154","2011-09-10",1
"155","2011-09-14",1
"156","2011-09-18",2
"157","2011-09-24",1
"158","2011-10-01",1
"159","2011-10-02",1
"160","2011-10-05",1
"161","2011-10-10",1
"162","2011-10-15",1
"163","2011-11-01",1
"164","2011-11-03",1
"165","2011-11-10",1
"166","2011-11-13",1
"167","2011-11-25",1
"168","2011-11-26",1
"169","2011-11-30",1
"170","2011-12-10",1
"171","2011-12-11",1
"172","2011-12-18",1
"173","2011-12-23",1
"174","2011-12-27",1
"175","2011-12-30",1
"176","2012-01-03",1
"177","2012-01-28",1
"178","2012-02-25",1
"179","2012-03-02",1
"180","2012-03-10",1
"181","2012-03-15",1
"182","2012-03-16",1
"183","2012-03-24",1
"184","2012-03-29",1
"185","2012-03-30",1
"186","2012-04-03",1
"187","2012-04-06",1
"188","2012-04-08",1
"189","2012-04-09",1
"190","2012-04-11",1
"191","2012-04-17",2
"192","2012-04-25",1
"193","2012-05-01",1
"194","2012-05-06",2
"195","2012-05-09",1
"196","2012-05-11",1
"197","2012-05-18",1
"198","2012-05-23",1
"199","2012-05-30",1
"200","2012-06-01",1
"201","2012-06-02",1
"202","2012-06-07",1
"203","2012-06-09",1
"204","2012-06-10",2
"205","2012-06-13",1
"206","2012-06-15",1
"207","2012-06-16",1
"208","2012-06-17",1
"209","2012-06-20",1
"210","2012-06-21",1
"211","2012-06-22",1
"212","2012-06-26",1
"213","2012-06-27",1
"214","2012-06-29",1
"215","2012-06-30",1
"216","2012-07-11",1
"217","2012-07-13",1
"218","2012-07-16",2
"219","2012-07-20",1
"220","2012-07-23",1
"221","2012-07-28",1
"222","2012-08-02",1
"223","2012-08-09",3
"224","2012-08-10",1
"225","2012-08-12",2
"226","2012-08-23",1
"227","2012-08-25",1
"228","2012-09-15",1
"229","2012-09-16",2
"230","2012-09-17",1
"231","2012-09-19",2
"232","2012-09-20",1
"233","2012-09-25",1
"234","2012-10-08",1
"235","2012-10-10",1
"236","2012-10-11",1
"237","2012-10-18",1
"238","2012-10-28",1
"239","2012-10-29",2
"240","2012-10-30",1
"241","2012-11-01",1
"242","2012-11-05",1
"243","2012-11-10",1
"244","2012-11-11",1
"245","2012-11-26",1
"246","2012-11-27",1
"247","2012-12-04",1
"248","2012-12-10",1
"249","2012-12-15",1
"250","2012-12-16",1
"251","2012-12-20",2
"252","2012-12-23",1
"253","2012-12-27",1
"254","2013-01-08",1
"255","2013-01-13",1
"256","2013-01-27",1
"257","2013-02-05",1
"258","2013-02-16",1
"259","2013-02-24",1
"260","2013-02-25",1
"261","2013-02-28",1
"262","2013-03-07",1
"263","2013-03-17",1
"264","2013-03-20",1
"265","2013-04-05",1
"266","2013-04-08",1
"267","2013-04-16",1
"268","2013-04-22",1
"269","2013-04-26",1
"270","2013-05-10",1
"271","2013-05-11",1
"272","2013-05-16",1
"273","2013-05-22",1
"274","2013-05-23",1
"275","2013-05-26",1
"276","2013-06-05",1
"277","2013-06-07",1
"278","2013-06-08",2
"279","2013-06-10",1
"280","2013-06-15",2
"281","2013-06-17",2
"282","2013-06-23",1
"283","2013-06-24",1
"284","2013-06-30",1
"285","2013-07-02",2
"286","2013-07-05",2
"287","2013-07-06",1
"288","2013-07-13",1
"289","2013-07-17",2
"290","2013-07-18",2
"291","2013-07-22",1
"292","2013-07-27",1
"293","2013-07-29",2
"294","2013-08-03",1
"295","2013-08-04",1
"296","2013-08-06",1
"297","2013-08-08",2
"298","2013-08-10",1
"299","2013-08-11",1
"300","2013-08-21",1
"301","2013-08-28",1
"302","2013-08-31",1
"303","2013-09-01",1
"304","2013-09-02",1
"305","2013-09-03",1
"306","2013-09-06",1
"307","2013-09-08",1
"308","2013-09-10",1
"309","2013-09-13",1
"310","2013-09-22",2
"311","2013-09-23",3
"312","2013-09-29",1
"313","2013-09-30",1
"314","2013-10-04",1
"315","2013-10-05",1
"316","2013-10-06",1
"317","2013-10-15",1
"318","2013-10-19",1
"319","2013-10-21",1
"320","2013-10-24",1
"321","2013-11-04",1
"322","2013-11-06",2
"323","2013-11-12",1
"324","2013-11-15",2
"325","2013-11-19",1
"326","2013-11-22",1
"327","2013-11-26",1
"328","2013-11-27",2
"329","2013-11-28",1
