"","Var1","Freq"
"1","2008-01-03",1
"2","2008-01-07",1
"3","2008-01-19",1
"4","2008-01-24",1
"5","2008-03-01",1
"6","2008-03-03",1
"7","2008-03-27",1
"8","2008-05-04",1
"9","2008-05-11",1
"10","2008-06-17",1
"11","2008-07-09",1
"12","2008-07-12",1
"13","2008-08-15",1
"14","2008-09-07",1
"15","2008-12-03",1
"16","2008-12-04",1
"17","2009-01-01",1
"18","2009-01-10",1
"19","2009-01-21",1
"20","2009-02-11",1
"21","2009-03-03",1
"22","2009-03-24",1
"23","2009-04-03",1
"24","2009-04-05",1
"25","2009-04-14",1
"26","2009-05-21",1
"27","2009-05-29",1
"28","2009-05-30",1
"29","2009-05-31",1
"30","2009-06-29",1
"31","2009-07-01",1
"32","2009-08-07",1
"33","2009-08-25",1
"34","2009-09-02",1
"35","2009-10-22",1
"36","2009-10-26",1
"37","2009-11-13",1
"38","2009-11-18",1
"39","2009-11-29",1
"40","2009-11-30",1
"41","2010-01-15",1
"42","2010-02-28",1
"43","2010-03-09",1
"44","2010-03-14",1
"45","2010-03-15",1
"46","2010-03-25",1
"47","2010-03-29",1
"48","2010-04-14",1
"49","2010-04-23",1
"50","2010-05-15",1
"51","2010-05-23",1
"52","2010-05-30",1
"53","2010-06-09",1
"54","2010-06-12",1
"55","2010-06-13",1
"56","2010-06-18",1
"57","2010-06-22",1
"58","2010-07-01",1
"59","2010-07-18",1
"60","2010-08-16",1
"61","2010-09-07",1
"62","2010-09-12",1
"63","2010-09-21",1
"64","2010-09-22",1
"65","2010-12-15",1
"66","2011-01-16",1
"67","2011-02-07",1
"68","2011-02-18",1
"69","2011-02-24",1
"70","2011-03-09",1
"71","2011-03-22",1
"72","2011-04-01",1
"73","2011-05-09",1
"74","2011-05-21",1
"75","2011-05-28",2
"76","2011-06-11",1
"77","2011-08-02",1
"78","2011-08-26",1
"79","2011-09-22",1
"80","2012-02-07",1
"81","2012-03-15",1
"82","2012-03-19",1
"83","2012-04-21",1
"84","2012-05-01",1
"85","2012-05-06",1
"86","2012-05-10",1
"87","2012-05-18",1
"88","2012-05-24",1
"89","2012-06-08",1
"90","2012-06-18",1
"91","2012-06-29",1
"92","2012-07-09",1
"93","2012-07-14",1
"94","2012-07-20",1
"95","2012-08-17",1
"96","2012-08-21",1
"97","2012-08-29",1
"98","2012-09-16",1
"99","2012-09-26",1
"100","2012-09-30",1
"101","2012-10-12",1
"102","2012-10-20",1
"103","2012-10-31",1
"104","2012-11-03",1
"105","2012-11-15",1
"106","2012-12-02",1
"107","2012-12-08",1
"108","2013-01-09",1
"109","2013-01-27",1
"110","2013-02-12",1
"111","2013-02-15",1
"112","2013-02-16",1
"113","2013-03-14",1
"114","2013-03-17",1
"115","2013-04-08",1
"116","2013-04-22",1
"117","2013-05-06",1
"118","2013-05-17",1
"119","2013-05-25",1
"120","2013-06-21",1
"121","2013-06-28",1
"122","2013-07-01",1
"123","2013-07-06",1
"124","2013-07-09",1
"125","2013-07-16",1
"126","2013-07-27",1
"127","2013-08-26",1
"128","2013-08-29",1
"129","2013-09-01",1
"130","2013-09-05",1
"131","2013-09-25",1
"132","2013-10-03",1
"133","2013-10-07",1
"134","2013-10-14",1
"135","2013-10-15",1
"136","2013-10-31",1
"137","2013-11-05",1
"138","2013-11-08",1
"139","2013-11-18",1
"140","2013-12-08",1
"141","2013-12-26",1
"142","2014-01-01",1
"143","2014-01-17",1
"144","2014-02-14",1
"145","2014-03-30",1
"146","2014-04-13",1
"147","2014-04-21",1
"148","2014-05-06",1
"149","2014-06-23",1
"150","2014-07-16",1
"151","2014-07-21",1
"152","2014-07-26",1
"153","2014-07-27",1
"154","2014-07-29",1
"155","2014-08-18",1
"156","2014-09-05",1
"157","2014-09-15",1
"158","2014-10-31",1
"159","2015-02-12",1
"160","2015-02-13",1
"161","2015-02-16",1
"162","2015-04-20",1
"163","2015-04-21",1
"164","2015-05-23",1
"165","2015-05-26",1
"166","2015-06-10",1
"167","2015-06-17",1
"168","2015-06-26",1
"169","2015-07-11",1
"170","2015-07-18",2
"171","2015-08-02",1
"172","2015-08-06",1
"173","2015-08-25",1
"174","2015-09-05",1
"175","2015-10-08",1
"176","2015-10-23",1
"177","2015-11-01",1
"178","2015-11-06",1
"179","2015-12-09",1
"180","2016-01-19",1
"181","2016-01-20",1
"182","2016-01-29",1
"183","2016-02-10",2
"184","2016-02-13",1
"185","2016-03-08",1
"186","2016-04-02",1
"187","2016-05-07",1
"188","2016-05-12",1
"189","2016-05-17",1
"190","2016-05-22",1
"191","2016-05-28",1
"192","2016-06-20",1
"193","2016-06-23",1
"194","2016-06-27",1
"195","2016-07-13",1
"196","2016-07-23",1
"197","2016-07-29",1
"198","2016-08-26",1
"199","2016-09-21",1
"200","2016-09-23",1
"201","2016-09-27",1
"202","2016-10-03",1
"203","2016-10-22",1
"204","2016-10-31",1
"205","2016-11-03",1
"206","2016-11-27",1
"207","2016-11-28",1
"208","2016-12-07",1
"209","2016-12-17",1
"210","2016-12-27",1
"211","2017-01-17",1
"212","2017-01-18",1
"213","2017-01-22",1
"214","2017-01-26",1
"215","2017-02-05",1
"216","2017-02-13",1
"217","2017-03-09",1
"218","2017-03-11",1
"219","2017-03-15",1
"220","2017-03-31",1
"221","2017-04-13",1
"222","2017-04-14",1
"223","2017-04-15",1
"224","2017-04-25",1
"225","2017-04-26",1
"226","2017-04-30",1
"227","2017-06-01",1
"228","2017-06-05",1
"229","2017-06-13",1
"230","2017-06-17",1
"231","2017-06-18",2
"232","2017-07-06",1
"233","2017-07-07",1
"234","2017-07-24",1
"235","2017-08-03",1
"236","2017-08-05",1
"237","2017-08-31",1
"238","2017-09-01",1
"239","2017-09-03",1
"240","2017-09-12",1
"241","2017-09-22",1
"242","2017-09-23",1
"243","2017-10-03",1
"244","2017-10-06",1
"245","2017-10-14",2
"246","2017-10-20",1
"247","2017-10-24",1
"248","2017-11-01",1
"249","2017-11-05",1
"250","2017-11-08",1
"251","2017-11-27",1
"252","2017-12-11",1
"253","2017-12-18",1
"254","2017-12-23",1
"255","2017-12-25",1
"256","2017-12-26",1
"257","2017-12-31",1
"258","(Missing)",319388
