"","Var1","Freq"
"1","2008-01-04",1
"2","2008-02-04",1
"3","2008-02-21",1
"4","2008-02-23",1
"5","2008-03-16",1
"6","2008-04-04",1
"7","2008-04-07",1
"8","2008-04-12",1
"9","2008-04-16",1
"10","2008-04-25",1
"11","2008-05-01",1
"12","2008-05-04",1
"13","2008-05-07",1
"14","2008-05-28",1
"15","2008-06-01",1
"16","2008-06-09",2
"17","2008-06-10",1
"18","2008-06-18",1
"19","2008-06-21",1
"20","2008-06-30",1
"21","2008-07-19",1
"22","2008-07-26",1
"23","2008-07-28",1
"24","2008-08-01",1
"25","2008-08-07",1
"26","2008-08-10",1
"27","2008-08-16",1
"28","2008-08-17",1
"29","2008-08-19",1
"30","2008-08-24",1
"31","2008-09-03",1
"32","2008-09-04",2
"33","2008-09-08",2
"34","2008-09-18",1
"35","2008-09-20",1
"36","2008-09-30",1
"37","2008-10-08",2
"38","2008-10-12",1
"39","2008-10-22",2
"40","2008-11-05",1
"41","2008-11-10",1
"42","2008-11-11",1
"43","2008-11-14",1
"44","2008-11-18",1
"45","2008-11-23",1
"46","2008-12-06",1
"47","2008-12-13",1
"48","2008-12-15",1
"49","2008-12-20",1
"50","2008-12-25",1
"51","2009-01-09",1
"52","2009-02-11",1
"53","2009-04-08",1
"54","2009-04-11",1
"55","2009-04-13",1
"56","2009-04-29",2
"57","2009-05-05",1
"58","2009-06-03",1
"59","2009-06-20",1
"60","2009-06-21",1
"61","2009-06-24",1
"62","2009-07-08",1
"63","2009-09-02",1
"64","2009-09-04",1
"65","2009-09-09",1
"66","2009-09-28",1
"67","2009-10-14",1
"68","2009-11-04",1
"69","2009-11-15",1
"70","2010-01-09",1
"71","2010-01-15",1
"72","2010-01-17",2
"73","2010-01-20",2
"74","2010-01-28",1
"75","2010-02-02",1
"76","2010-02-03",1
"77","2010-02-08",1
"78","2010-02-11",1
"79","2010-02-27",2
"80","2010-03-03",1
"81","2010-03-04",1
"82","2010-03-29",1
"83","2010-04-01",1
"84","2010-04-11",1
"85","2010-04-15",1
"86","2010-04-17",1
"87","2010-04-18",1
"88","2010-04-20",1
"89","2010-05-01",1
"90","2010-05-02",1
"91","2010-05-08",1
"92","2010-05-09",2
"93","2010-05-10",2
"94","2010-05-12",2
"95","2010-05-13",1
"96","2010-05-15",2
"97","2010-05-19",1
"98","2010-05-20",1
"99","2010-05-28",1
"100","2010-06-02",1
"101","2010-06-11",1
"102","2010-06-12",1
"103","2010-06-13",1
"104","2010-06-17",1
"105","2010-06-25",1
"106","2010-06-27",1
"107","2010-06-28",1
"108","2010-07-05",2
"109","2010-07-10",1
"110","2010-07-13",1
"111","2010-07-18",1
"112","2010-07-20",1
"113","2010-07-22",1
"114","2010-07-24",1
"115","2010-07-29",1
"116","2010-08-07",1
"117","2010-08-09",1
"118","2010-08-11",1
"119","2010-08-16",1
"120","2010-08-19",1
"121","2010-09-05",1
"122","2010-09-21",1
"123","2010-10-01",2
"124","2010-10-21",1
"125","2010-10-24",1
"126","2010-10-25",1
"127","2010-10-26",1
"128","2010-10-31",1
"129","2010-11-03",1
"130","2010-11-09",1
"131","2010-12-20",1
"132","2011-01-06",1
"133","2011-01-07",1
"134","2011-01-25",1
"135","2011-01-28",1
"136","2011-02-06",1
"137","2011-02-09",1
"138","2011-02-18",1
"139","2011-02-25",1
"140","2011-03-23",1
"141","2011-03-26",1
"142","2011-03-31",1
"143","2011-04-01",1
"144","2011-04-03",1
"145","2011-04-08",1
"146","2011-04-22",1
"147","2011-04-25",1
"148","2011-05-18",1
"149","2011-05-28",1
"150","2011-05-30",1
"151","2011-06-12",1
"152","2011-06-20",1
"153","2011-06-24",1
"154","2011-07-16",1
"155","2011-09-09",1
"156","2011-10-14",1
"157","2011-10-23",1
"158","2011-10-30",1
"159","2011-11-07",1
"160","2011-11-23",1
"161","2011-11-28",1
"162","2012-04-02",1
"163","2012-04-07",1
"164","2012-04-08",1
"165","2012-04-09",1
"166","2012-04-11",1
"167","2012-04-15",1
"168","2012-04-21",2
"169","2012-04-24",1
"170","2012-04-25",1
"171","2012-04-30",1
"172","2012-05-08",1
"173","2012-05-10",1
"174","2012-06-24",1
"175","2012-07-30",1
"176","2012-08-04",1
"177","2012-08-05",1
"178","2012-08-12",1
"179","2012-08-30",2
"180","2012-09-06",2
"181","2012-09-09",1
"182","2012-09-21",1
"183","2012-12-31",1
"184","2013-01-17",1
"185","2013-02-03",1
"186","2013-03-05",1
"187","2013-06-02",1
"188","2013-06-20",1
"189","2013-07-09",1
"190","2013-08-28",1
"191","2013-10-30",1
"192","2013-11-09",1
"193","2014-01-13",1
"194","2014-01-15",1
"195","2014-02-04",1
"196","2014-03-23",1
"197","2014-03-25",1
"198","2014-03-27",1
"199","2014-04-07",1
"200","2014-04-10",1
"201","2014-04-20",2
"202","2014-04-26",1
"203","2014-04-28",1
"204","2014-04-30",2
"205","2014-05-07",1
"206","2014-05-11",1
"207","2014-05-19",1
"208","2014-05-20",1
"209","2014-05-25",1
"210","2014-05-30",1
"211","2014-06-02",1
"212","2014-06-04",1
"213","2014-06-05",1
"214","2014-06-07",1
"215","2014-06-11",1
"216","2014-06-12",1
"217","2014-06-15",1
"218","2014-06-23",3
"219","2014-06-24",1
"220","2014-06-25",1
"221","2014-06-26",1
"222","2014-07-12",1
"223","2014-07-16",1
"224","2014-07-18",1
"225","2014-07-22",1
"226","2014-07-28",1
"227","2014-08-01",1
"228","2014-08-02",1
"229","2014-08-12",1
"230","2014-08-17",1
"231","2014-09-01",1
"232","2014-09-05",1
"233","2014-09-06",3
"234","2014-09-09",1
"235","2014-09-12",1
"236","2014-09-17",1
"237","2014-09-22",1
"238","2014-09-30",1
"239","2014-10-12",2
"240","2014-10-16",1
"241","2014-10-27",1
"242","2014-10-28",1
"243","2014-10-29",1
"244","2014-11-05",1
"245","2014-11-06",1
"246","2014-11-16",1
"247","2014-11-22",1
"248","2014-11-23",1
"249","2015-02-21",1
"250","2015-02-23",1
"251","2015-03-06",1
"252","2015-03-11",1
"253","2015-03-24",1
"254","2015-04-02",1
"255","2015-04-09",1
"256","2015-04-25",1
"257","2015-04-30",2
"258","2015-05-11",1
"259","2015-05-23",1
"260","2015-06-11",1
"261","2015-06-21",1
"262","2015-09-10",1
"263","2015-10-19",1
"264","2015-10-22",1
"265","2015-10-23",1
"266","2015-12-18",1
"267","2015-12-27",1
"268","2016-01-09",1
"269","2016-02-05",1
"270","2016-02-06",1
"271","2016-02-17",1
"272","2016-04-05",1
"273","2016-04-12",2
"274","2016-04-15",2
"275","2016-04-20",1
"276","2016-04-29",1
"277","2016-05-01",1
"278","2016-05-05",1
"279","2016-05-10",1
"280","2016-05-11",1
"281","2016-07-02",1
"282","2016-07-09",1
"283","2016-07-27",1
"284","2016-08-06",1
"285","2016-11-20",1
"286","2016-12-01",1
"287","2016-12-05",1
"288","2016-12-27",1
"289","2017-01-24",1
"290","2017-02-12",1
"291","2017-03-08",1
"292","2017-03-29",1
"293","2017-04-19",1
"294","(Missing)",319329
