"","Var1","Freq"
"1","0",1
"2","50",2
"3","100",1353
"4","105",9
"5","110",12
"6","115",4
"7","119",1
"8","120",25
"9","125",14
"10","130",8
"11","140",6
"12","150",588
"13","159",1
"14","160",8
"15","170",5
"16","175",4
"17","180",9
"18","190",3
"19","199",1
"20","200",706
"21","205",3
"22","210",3
"23","220",1
"24","225",3
"25","230",3
"26","240",8
"27","241",1
"28","250",2062
"29","254",1
"30","255",9
"31","260",23
"32","265",4
"33","270",3
"34","275",1
"35","280",7
"36","290",1
"37","300",369
"38","305",2
"39","310",2
"40","320",2
"41","330",1
"42","340",1
"43","350",483
"44","360",4
"45","370",1
"46","380",1
"47","390",1
"48","400",268
"49","410",1
"50","415",1
"51","420",1
"52","440",2
"53","450",52
"54","460",1
"55","465",1
"56","475",1
"57","480",1
"58","500",4572
"59","505",5
"60","510",11
"61","520",4
"62","535",1
"63","550",17
"64","560",2
"65","580",1
"66","600",102
"67","620",1
"68","630",1
"69","640",1
"70","650",13
"71","660",1
"72","680",2
"73","700",59
"74","750",302
"75","760",1
"76","770",1
"77","779",1
"78","785",1
"79","800",48
"80","810",1
"81","850",22
"82","900",31
"83","950",2
"84","1000",2007
"85","1005",1
"86","1010",2
"87","1030",1
"88","1050",3
"89","1100",14
"90","1150",1
"91","1160",1
"92","1200",16
"93","1250",55
"94","1300",8
"95","1350",12
"96","1400",7
"97","1500",286
"98","1510",1
"99","1525",1
"100","1540",1
"101","1550",1
"102","1600",3
"103","1605",1
"104","1700",3
"105","1750",14
"106","1800",2
"107","1850",1
"108","1900",1
"109","2000",244
"110","2050",1
"111","2100",2
"112","2250",8
"113","2300",3
"114","2350",2
"115","2500",68
"116","2540",1
"117","2750",1
"118","2850",1
"119","3000",44
"120","3250",4
"121","3500",9
"122","4000",12
"123","4500",1
"124","5000",30
"125","5010",1
"126","5500",1
"127","5520",1
"128","6000",3
"129","7000",1
"130","7500",1
"131","8000",2
