"","Var1","Freq"
"1","2008-03-14",1
"2","2008-04-15",1
"3","2008-08-16",1
"4","2008-08-17",1
"5","2008-09-04",1
"6","2008-10-22",1
"7","2008-11-10",2
"8","2008-11-25",1
"9","2009-04-20",1
"10","2009-04-24",1
"11","2009-04-28",1
"12","2009-05-12",1
"13","2009-06-25",1
"14","2009-07-17",1
"15","2009-08-10",1
"16","2009-08-18",1
"17","2009-09-07",1
"18","2009-09-15",1
"19","2009-09-16",2
"20","2009-09-27",1
"21","2009-10-08",1
"22","2009-10-26",1
"23","2010-01-08",1
"24","2010-01-17",1
"25","2010-02-11",1
"26","2010-03-12",1
"27","2010-03-15",1
"28","2010-03-24",1
"29","2010-04-06",1
"30","2010-04-14",1
"31","2010-04-29",1
"32","2010-04-30",1
"33","2010-05-09",1
"34","2010-05-10",1
"35","2010-05-11",1
"36","2010-05-22",1
"37","2010-05-29",1
"38","2010-06-05",1
"39","2010-06-09",1
"40","2010-06-16",1
"41","2010-07-22",1
"42","2010-08-08",1
"43","2010-08-18",1
"44","2010-08-24",1
"45","2010-08-29",1
"46","2010-09-05",1
"47","2010-09-11",2
"48","2010-09-15",1
"49","2010-10-06",1
"50","2010-10-15",1
"51","2010-10-31",1
"52","2010-11-27",1
"53","2010-12-03",1
"54","2011-01-12",1
"55","2011-01-16",1
"56","2011-01-30",1
"57","2011-02-08",1
"58","2011-03-02",1
"59","2011-03-06",1
"60","2011-03-10",1
"61","2011-03-14",1
"62","2011-03-27",1
"63","2011-04-02",1
"64","2011-05-02",1
"65","2011-05-18",1
"66","2011-05-24",1
"67","2011-05-26",1
"68","2011-05-29",1
"69","2011-06-02",1
"70","2011-06-10",1
"71","2011-06-19",1
"72","2011-07-04",1
"73","2011-07-30",1
"74","2011-08-05",1
"75","2011-08-16",1
"76","2011-08-20",1
"77","2011-08-25",1
"78","2011-08-31",1
"79","2011-09-12",1
"80","2011-09-13",1
"81","2011-12-04",1
"82","2011-12-08",1
"83","2011-12-10",1
"84","2012-01-05",1
"85","2012-02-20",1
"86","2012-03-19",1
"87","2012-04-05",1
"88","2012-04-15",1
"89","2012-04-24",1
"90","2012-05-09",1
"91","2012-08-01",1
"92","2012-08-09",1
"93","2012-08-26",1
"94","2012-08-27",1
"95","2012-09-16",1
"96","2012-09-21",1
"97","2012-10-01",1
"98","2012-10-08",2
"99","2012-10-28",1
"100","2012-11-01",1
"101","2012-12-14",1
"102","2012-12-15",1
"103","2012-12-18",1
"104","2012-12-29",1
"105","2013-01-01",2
"106","2013-01-10",1
"107","2013-01-13",1
"108","2013-01-21",1
"109","2013-01-30",1
"110","2013-02-06",1
"111","2013-02-12",1
"112","2013-03-11",1
"113","2013-03-13",1
"114","2013-04-08",1
"115","2013-04-11",1
"116","2013-04-27",1
"117","2013-05-06",1
"118","2013-05-18",1
"119","2013-05-20",1
"120","2013-06-08",1
"121","2013-06-10",1
"122","2013-06-18",1
"123","2013-07-02",1
"124","2013-07-08",1
"125","2013-07-09",1
"126","2013-07-10",1
"127","2013-07-16",1
"128","2013-08-01",1
"129","2013-08-05",1
"130","2013-08-06",1
"131","2013-08-19",1
"132","2013-08-24",1
"133","2013-08-28",1
"134","2013-08-30",1
"135","2013-09-06",1
"136","2013-09-16",1
"137","2013-09-18",1
"138","2013-09-20",1
"139","2013-10-07",1
"140","2013-11-03",1
"141","2013-11-05",1
"142","2013-11-08",1
"143","2013-11-14",1
"144","2013-11-16",1
"145","2013-11-17",1
"146","2013-11-21",1
"147","2013-11-23",1
"148","2013-11-29",1
"149","2014-01-03",1
"150","2014-02-19",1
"151","2014-02-20",1
"152","2014-03-23",1
"153","2014-04-19",1
"154","2014-05-02",1
"155","2014-05-27",1
"156","2014-06-04",1
"157","2014-06-23",1
"158","2014-07-09",1
"159","2014-08-11",1
"160","2014-08-23",1
"161","2014-09-10",1
"162","2014-09-12",1
"163","2014-09-13",1
"164","2014-09-18",1
"165","2014-09-30",1
"166","2014-10-13",1
"167","2014-10-22",1
"168","2014-10-25",1
"169","2014-10-27",1
"170","2014-10-31",1
"171","2014-11-14",1
"172","2014-12-06",2
"173","2014-12-09",1
"174","2014-12-17",1
"175","2015-01-05",1
"176","2015-01-13",1
"177","2015-01-29",1
"178","2015-03-05",1
"179","2015-03-28",1
"180","2015-04-05",2
"181","2015-04-09",1
"182","2015-04-22",1
"183","2015-04-28",1
"184","2015-05-04",1
"185","2015-05-20",1
"186","2015-06-07",1
"187","2015-06-08",1
"188","2015-06-22",1
"189","2015-06-23",1
"190","2015-07-03",1
"191","2015-07-07",1
"192","2015-07-21",1
"193","2015-07-26",1
"194","2015-12-23",1
"195","2016-01-14",1
"196","2016-01-15",1
"197","2016-01-20",1
"198","2016-01-22",1
"199","2016-03-23",1
"200","2016-05-12",1
"201","2016-05-29",1
"202","2016-06-03",1
"203","2016-07-11",1
"204","2016-07-19",1
"205","2016-07-22",1
"206","2016-08-29",1
"207","2016-10-02",1
"208","2016-10-13",1
"209","2016-11-05",1
"210","2016-12-26",1
