"","Var1","Freq"
"1","1",1848
"2","2",325
"3","3",19
"4","4",49470
"5","5",7765
"6","6",644
"7","8",7999
"8","9",113659
"9","10",12715
"10","11",876
"11","12",1467
"12","13",12762
"13","14",4689
"14","16",20668
"15","17",12391
"16","18",3863
"17","19",1302
"18","20",6909
"19","21",3284
"20","22",2718
"21","24",2677
"22","25",20060
"23","26",7137
"24","27",1024
"25","29",6789
"26","30",1486
"27","32",441
"28","33",1356
"29","34",2626
"30","35",742
"31","36",1265
"32","38",2005
"33","41",1297
"34","42",333
"35","43",758
"36","45",1468
"37","48",215
"38","50",1189
"39","51",50
"40","54",193
"41","57",408
"42","59",218
"43","66",229
"44","75",310
