"","Var1","Freq"
"1","1",1847
"2","2",325
"3","3",19
"4","4",49461
"5","5",7765
"6","6",644
"7","8",7999
"8","9",113661
"9","10",12715
"10","11",876
"11","12",1469
"12","13",12762
"13","14",4690
"14","16",20666
"15","17",12390
"16","18",3867
"17","19",1302
"18","20",6909
"19","21",3283
"20","22",2717
"21","24",2676
"22","25",20059
"23","26",7141
"24","27",1023
"25","29",6789
"26","30",1486
"27","32",440
"28","33",1354
"29","34",2626
"30","35",742
"31","36",1264
"32","38",2007
"33","41",1298
"34","42",333
"35","43",758
"36","45",1473
"37","48",214
"38","50",1193
"39","51",50
"40","54",193
"41","57",407
"42","59",218
"43","66",229
"44","75",310
