"","Var1","Freq"
"1","2005-11-26",1
"2","2008-01-01",2
"3","2008-01-02",1
"4","2008-01-07",1
"5","2008-01-08",1
"6","2008-01-11",1
"7","2008-01-12",3
"8","2008-01-13",1
"9","2008-01-15",1
"10","2008-01-16",1
"11","2008-01-20",2
"12","2008-01-22",3
"13","2008-01-23",2
"14","2008-01-25",4
"15","2008-02-03",1
"16","2008-02-04",1
"17","2008-02-05",1
"18","2008-02-06",1
"19","2008-02-08",1
"20","2008-02-09",2
"21","2008-02-10",1
"22","2008-02-11",1
"23","2008-02-12",1
"24","2008-02-13",1
"25","2008-02-14",1
"26","2008-02-15",1
"27","2008-02-16",1
"28","2008-02-17",1
"29","2008-02-18",2
"30","2008-02-19",3
"31","2008-02-22",1
"32","2008-02-23",1
"33","2008-02-25",4
"34","2008-02-27",1
"35","2008-02-28",1
"36","2008-02-29",3
"37","2008-03-01",1
"38","2008-03-02",1
"39","2008-03-05",1
"40","2008-03-07",1
"41","2008-03-10",1
"42","2008-03-14",2
"43","2008-03-18",2
"44","2008-03-20",1
"45","2008-03-23",1
"46","2008-03-25",1
"47","2008-03-26",1
"48","2008-03-28",2
"49","2008-03-29",2
"50","2008-03-30",2
"51","2008-03-31",2
"52","2008-04-01",2
"53","2008-04-02",2
"54","2008-04-03",1
"55","2008-04-04",2
"56","2008-04-05",1
"57","2008-04-11",1
"58","2008-04-12",1
"59","2008-04-13",2
"60","2008-04-14",1
"61","2008-04-17",1
"62","2008-04-18",1
"63","2008-04-20",1
"64","2008-04-21",1
"65","2008-04-22",2
"66","2008-04-24",1
"67","2008-04-25",1
"68","2008-04-26",2
"69","2008-04-28",1
"70","2008-05-01",1
"71","2008-05-03",4
"72","2008-05-04",2
"73","2008-05-05",3
"74","2008-05-06",2
"75","2008-05-07",2
"76","2008-05-08",1
"77","2008-05-10",3
"78","2008-05-11",1
"79","2008-05-16",1
"80","2008-05-17",1
"81","2008-05-19",1
"82","2008-05-23",2
"83","2008-05-24",1
"84","2008-05-26",1
"85","2008-05-28",1
"86","2008-05-29",1
"87","2008-05-30",2
"88","2008-05-31",2
"89","2008-06-01",2
"90","2008-06-03",1
"91","2008-06-04",2
"92","2008-06-05",1
"93","2008-06-10",1
"94","2008-06-11",2
"95","2008-06-13",1
"96","2008-06-14",2
"97","2008-06-15",3
"98","2008-06-17",1
"99","2008-06-19",1
"100","2008-06-20",1
"101","2008-06-21",2
"102","2008-06-24",1
"103","2008-06-25",1
"104","2008-06-26",1
"105","2008-06-28",1
