"","Var1","Freq"
"1","'box splint'",1
"2","'SAM' splint",1
"3"," Vacuum splint",1
"4","(L) arm splint",1
"5","(L) forearm splint",1
"6","(R) leg splint",1
"7","(R) leg vacuum splint",1
"8","2 lower limb box splints",1
"9","2 splints",1
"10","2 X Tourniquet to leg",1
"11","ankle splint",3
"12","ankle splint with velcro strapping",1
"13","Ankle splint/LEG",1
"14","arm",1
"15","Arm Splint",2
"16","B/L LEG SPLINTS",1
"17","Back slab",1
"18","Backslab right arm",1
"19","Belt and sheet pelvis splint",1
"20","Benecast pre-mould splint to right leg.",1
"21","BENECAST SPLINT LEFT WRIST AND BOX SPLINT LEFT ANKLE",1
"22","Benecast/Box bilat",1
"23","Betadine soak and box splint to left leg",1
"24","bilateral box splints",1
"25","Bilateral box splints",1
"26","bilateral kendrick",2
"27","bilateral kendrick splint",1
"28","Bilateral kendrick splints",1
"29","body vac splint",1
"30","Both arms & legs",1
"31","Both legs immobilised",1
"32","box",7
"33","Box",5
"34","box-splint",1
"35","box and vacuum splint",1
"36","Box slint (R) forearm",1
"37","box splint",44
"38","Box splint",54
"39","Box Splint",20
"40","BOX SPLINT",25
"41","BOX SPLINT - LOWER LIMBS",1
"42","box splint  left ankle and box splint right tib/fib",1
"43","Box splint & arm sling",1
"44","Box Splint & Kendrick",1
"45","Box splint & orthopaedic stretcher",1
"46","BOX SPLINT & SLING TO RIGHT ARM",1
"47","box splint & traction splint",1
"48","Box splint & traction splint.",1
"49","Box splint (L) arm",1
"50","Box splint (L) foot",1
"51","Box splint (L) forearm",2
"52","Box splint (L) leg",4
"53","Box splint (L) lower leg",1
"54","Box splint (L) wrist",1
"55","Box splint (R) leg",1
"56","BOX SPLINT AND TRACTION SPLINT TO LOWER LIMB",1
"57","box splint applied",1
"58","Box splint applied",1
"59","BOX SPLINT APPLIED",3
"60","box splint arm",1
"61","BOX SPLINT ARM",1
"62","Box splint both ankles",1
"63","BOX SPLINT BOTH ARMS",1
"64","Box splint both lower legs",1
"65","Box splint for arm.",1
"66","box splint L leg",1
"67","BOX SPLINT LEFT ANKLE.",1
"68","Box splint left arm",1
"69","BOX SPLINT LEFT ARM",1
"70","box splint left foot",1
"71","box splint left leg",4
"72","Box splint left leg",1
"73","BOX SPLINT LEFT LEG",1
"74","Box splint left leg and right arm + kendreick splint right leg",1
"75","box splint leg",2
"76","Box Splint Leg",1
"77","Box splint on left wrist",1
"78","Box Splint R Leg",1
"79","box splint right arm",1
"80","box splint right leg",2
"81","BOX SPLINT RIGHT LEG",2
"82","BOX SPLINT RIGHT LOWER LEG AND SPLINT LEFT LOWER LEG",1
"83","Box splint to (L) leg",1
"84","Box splint to arm",1
"85","Box splint to left arm",1
"86","Box Splint to left arm.",1
"87","box splint to left leg",1
"88","Box Splint to left leg.",1
"89","Box Splint to left wrist.",1
"90","BOX SPLINT TO LEG",2
"91","BOX SPLINT TO LEG & ARM",1
"92","box splint to leg /pelvic splint",1
"93","Box splint to right arm",1
"94","box splint to right leg",1
"95","Box splint with padding",1
"96","box splint x2",1
"97","Box splint x2",1
"98","Box Splint, Pelvic Splint",1
"99","box splint.",1
"100","Box splint.",1
"101","Box Splint.",2
"102","box splints",3
"103","Box splints - both forearms",1
"104","Box splints and tourniquet",1
"105","box splints and traction splint to femur",1
"106","Box splints applied both arms and Lt lower leg",1
"107","BOX SPLINTS LEFT LEG AND LEFT ARM",1
"108","Box splints left lower arm and right lower leg",1
"109","Box Splints on both Legs",1
"110","BOX SPLINTS RIGHT LEG - LEFT LEG",1
"111","Box splints to both forearms",1
"112","box splints, bubble wrap, bilateral toruiquets",1
"113","box to right arm",1
"114","Box, Ortho stretcher",1
"115","boxs splint applied to L leg",1
"116","BROADFOLD BANDAGES & PADDING TO GIVE SUPPORT & COMFORT",1
"117","bubble wrap",9
"118","bubble wrap, pelvic binder",1
"119","Bubble wrap, Vacum Splints, SAM belt",1
"120","cat tq",1
"121","CAT trauma tourniquet applied to stop leg h'ge ++++",1
"122","Cervical Splint",2
"123","chrysalis splint",2
"124","collar and cuff",1
"125","DONAY SPLINT",1
"126","Donway applied to leg",1
"127","donway splint",11
"128","Donway splint",4
"129","Donway Splint",3
"130","donway splint applied",1
"131","Donway Splint applied",1
"132","Donway Splint Applied",2
"133","Donway splint?",1
"134","Donway traction splint",1
"135","Dressing and vac splint  to left leg and right ankle",1
"136","elbow splint",1
"137","ELBOW SUPPORT",1
"138","Femoral s plint left leg",1
"139","Femur Splint",1
"140","frac pac",36
"141","frac pac right leg",1
"142","frac strap and vac mat",1
"143","Frac Straps",1
"144","FRAC STRAPS",1
"145","frac straps leg ?",1
"146","frac straps right leg",1
"147","fracpac",2
"148","fracpac and scoop utilised",1
"149","fracpac and traction",1
"150","Fracture Pac",1
"151","Fracture pac used",1
"152","Fracture pack applied to left leg and arm",1
"153","fracture straps",1
"154","Fracture straps",6
"155","Full length vacuum splint",1
"156","GUUTER SPLINT",1
"157","Immobilisation - traction",1
"158","Immobilised with 3 x tribands and spacing pad",1
"159","Kendric Splint",1
"160","kendrick",1
"161","Kendrick",8
"162","Kendrick & Box Splint",1
"163","kendrick & Vacuum splint",1
"164","Kendrick and Sam splint",1
"165","kendrick left limb",1
"166","Kendrick right leg",2
"167","kendrick splint",12
"168","Kendrick splint",11
"169","Kendrick Splint",17
"170","Kendrick Splint - femur reduced with manual traction",1
"171","Kendrick splint  right leg",1
"172","kendrick splint (pelvic)",1
"173","Kendrick Splint and box splint",1
"174","Kendrick splint applied to L femur",1
"175","Kendrick Splint for # tib/fib",1
"176","Kendrick splint left leg",1
"177","Kendrick splint right femur",1
"178","Kendrick splint right leg",1
"179","kendrick splint, pelvic splint",3
"180","Kendrick splints both legs and right arm",1
"181","kendrick traction splint to left femur",1
"182","kendrick, In-line tracton right leg",2
"183","kendrick, vacuum splint",1
"184","kendrik",1
"185","KTD Applied but not tightened",1
"186","KTD Splint and Sam pelvic splint",1
"187","l arm splont",1
"188","large pressure bandage",1
"189","LEFT AND RIGHT ANKLE AND RIGHT WRIST",1
"190","left ankle",1
"191","LEFT ANKLE SPLINT",1
"192","left arm",1
"193","left arm and left leg splinted",1
"194","Left arm for mid shaft humerus #",1
"195","Left box splint",1
"196","left femur splint",1
"197","Left leg",1
"198","left leg box splint",1
"199","Left leg splint",1
"200","Left Leg splint",1
"201","left leg splint & right ankle splint",1
"202","Left leg splint NFS",1
"203","left leg splint.",1
"204","left leg splinted",1
"205","Left leg Traction splint, Right leg vacuum splint",1
"206","left lower limb splint.",1
"207","LEFT TIBIAL",1
"208","Left wrist, splinted and immobilised",1
"209","Leg and ankle splinted in long splint.",1
"210","leg and arm",1
"211","Leg and arm splints",1
"212","Leg and Pelvis",1
"213","leg and wrist",1
"214","Leg immobilised in a traction spilint",1
"215","leg splint",18
"216","Leg splint",5
"217","Leg Splint",1
"218","LEG SPLINT",4
"219","leg splint (R)",1
"220","Leg splint.",1
"221","Leg Splint.",1
"222","LEG SPLINTING",1
"223","leg splints",2
"224","leg starightened and splinted but no specific name of splint identified",1
"225","legs splinted together - kendrick",1
"226","limb",1
"227","LIMB IMMOLILISED",1
"228","limb splint",3
"229","Limb splint",1
"230","Limb Splint",1
"231","LIMB SPLINT",5
"232","Limb splint (R) forearm",1
"233","LIMB SPLINT IN SITU.",1
"234","limb splint left arm",1
"235","LIMB SPLINT RIGHT ARM",1
"236","limb splinted with slings",1
"237","Long board",1
"238","Long Board",1
"239","Long board & straps",1
"240","Long board, blocks and straps",1
"241","Long board, straps",1
"242","Long board, vacuum splint",1
"243","Long box",1
"244","Long box splint.",1
"245","long box splints",1
"246","long leg",2
"247","long leg splint",3
"248","Long Leg Splint",1
"249","LONG LEG SPLINT",3
"250","long splint & ortho stretcher",1
"251","Longboard",1
"252","Longboard, scoop, fracture straps",1
"253","longbone splint",1
"254","Lower imb splint",1
"255","loxley",10
"256","Loxley",13
"257","Loxley and vacuum splint",1
"258","loxley splint",3
"259","Loxley splint",3
"260","LOXLEY SPLINT",1
"261","loxley splint applied",1
"262","Loxley splint on arm",1
"263","Lt lower leg",1
"264","LT THIGH",1
"265","manual traction",1
"266","MANUAL TRACTION APPLIED",1
"267","Manual traction to left leg.",1
"268","MILS, pelvis splint",1
"269","NFS",1
"270","no details",1
"271","not specified",1
"272","Ortho stretcher",2
"273","orthopaedic",1
"274","Packs and Sam Splint tp pelvis & vac splint arm.",1
"275","Padding and straps",1
"276","Patient refused CRV collar or any straps",1
"277","Pegasus / Box splint x 2",1
"278","Pelvi Splint",1
"279","Pelvic Binder",2
"280","Pelvic SAM splint",1
"281","Pelvic sling",1
"282","pelvic splint",13
"283","Pelvic splint",6
"284","Pelvic Splint",29
"285","PELVIC SPLINT",2
"286","Pelvic Splint (SAM)",1
"287","pelvic splint and box splint to L wrist",1
"288","Pelvic splint and box splint to right leg",1
"289","Pelvic Splint and Kendrick Splint",1
"290","Pelvic Splint and Long Leg Splint",1
"291","pelvic splint and vacuum mattress",1
"292","Pelvic splint applied.",1
"293","pelvic splint.",1
"294","Pelvic splint.",1
"295","Pelvic Splint.",7
"296","Pelvic strapping.",1
"297","pelvice splint",1
"298","Pelvis SAM sling",1
"299","pelvis splint",2
"300","Pelvis Splint",1
"301","post morphine, manual traction to straighten leg then Loxley splint applied",1
"302","Pts legs were tied togather to stop any movement with bandages",1
"303","reduction splint femur, pelvic splint, reduction thump",1
"304","Right Ankle Splint",1
"305","right femur",1
"306","right foot immobilised",1
"307","Right Kendick, Traction device",1
"308","right leg splint",1
"309","Right leg splint",1
"310","Rt Arm Box Splint",1
"311","RT LEG BOX SPLINT",1
"312","Saegar traction splint",1
"313","sagar splint",2
"314","Sagar splint",1
"315","Sagar Splint",1
"316","sagar splint left leg",1
"317","Sagar splint R leg",1
"318","sagar splint right leg",2
"319","Sagar Traction Splint",2
"320","Sager splint",2
"321","SAGER splint",1
"322","Sager splint & scoop",1
"323","sager splint in situ on arrival at Queens",1
"324","Sager traction limb splint",1
"325","Sager Traction Splint",1
"326","SAM",2
"327","SAM pelvic sling and Sagar traction sling",1
"328","SAM pelvic Splint.",1
"329","Sam sling",1
"330","Sam Sling",1
"331","Sam sling applied.",1
"332","SAM Splint",3
"333","SAM SPLINT & BOX SPLINT",1
"334","SAM splint applied",1
"335","SAM splint right leg",1
"336","SAM splint to left arm",1
"337","Sam Splint to Pelvis.",1
"338","SAM splint, box splints",1
"339","Sam splint.",1
"340","Sam Splint.",2
"341","SAM Splint.",1
"342","Sarn pelvic splint",1
"343","Scoop",2
"344","Scoop & Longboard",1
"345","Scoop & pelvis strap",1
"346","Scoop & straps",1
"347","Scoop and fracture straps",1
"348","Scoop and long board",1
"349","Scoop and straps",1
"350","Scoop stretcher",1
"351","Seagar splint applied to mid shaft of femur.",1
"352","Simple limb immobilisation",1
"353","Skin Splint to leg",1
"354","sling",2
"355","Sling",2
"356","Sling to arm",1
"357","SPINAL COLLAR",1
"358","splint",11
"359","Splint",6
"360","SPLINT",1
"361","Splint (L) forearm and (R) leg",1
"362","Splint (L) leg",2
"363","Splint (R) arm",1
"364","Splint (R) elbow",1
"365","Splint (R) forearm",2
"366","Splint (R) leg",2
"367","Splint and scoop",1
"368","Splint and sling right arm",1
"369","Splint applied to Right arm and (R) leg",1
"370","Splint both legs",1
"371","splint left arm",1
"372","Splint Left Arm",1
"373","splint left arm.",1
"374","splint left leg",2
"375","SPLINT LEFT LEG",1
"376","Splint lower limbs",1
"377","Splint right arm and leg",1
"378","splint right leg",2
"379","Splint right leg",1
"380","splint right leg.",1
"381","Splint straps",1
"382","Splint to # left ankle",1
"383","Splint to (L) leg",1
"384","Splint to femur",1
"385","SPLINT TO FEMUR.",1
"386","splint to left ankle",1
"387","Splint to left leg",1
"388","Splint to left lower leg",1
"389","splint to R wrist",1
"390","Splint used to L ankle. Mellolin and bandage used",1
"391","splintage to right leg",1
"392","splints both legs",1
"393","Splints on both legs",1
"394","Splints to (R) wrist and (R) leg",1
"395","splints to left arm and right leg",1
"396","splints x 2",1
"397","stabilise ankle",1
"398","standard ambulance splint",1
"399","straps",1
"400","Stretcher & scoop",1
"401","Suction splint",1
"402","Suction splints to both legs",1
"403","Temp splint R ankle",1
"404","The patients right leg was put in a splint.",1
"405","thomas splint",2
"406","Thomas Splint",1
"407","to pelvis and limbs",1
"408","tourniquet left leg",1
"409","Tourquet left arm and left leg",1
"410","Tourquet right leg",1
"411","traction",7
"412","Traction",3
"413","TRACTION",2
"414","Traction and kendricks applied",1
"415","Traction and splinting",1
"416","Traction right femur",1
"417","traction splint",8
"418","Traction splint",10
"419","Traction Splint",5
"420","TRACTION SPLINT",4
"421","Traction Splint - Right Leg",1
"422","Traction splint & box splint",1
"423","Traction Splint (Left Leg)",1
"424","Traction splint (R) leg",1
"425","Traction splint (R) leg, vacuum splint (L) leg",1
"426","traction splint applied",1
"427","traction splint L femur",1
"428","Traction splint leg",1
"429","traction splint right leg",1
"430","Traction splint right leg",2
"431","Traction splint Rt Femur",1
"432","Traction splint to Rt femur",1
"433","Traction splint, Scoop",1
"434","Traction Splint.",1
"435","traction splintage for compound # right femur",1
"436","Triangular Bandage",1
"437","TRIANGULAR BANDAGES",1
"438","two arm splints",1
"439","unable to place femoral splint as unable to straighten leg",1
"440","unspecified",1
"441","UPPER LIMB SPLINT",1
"442","Vac",1
"443","Vac  Trac  Trian  Other Frac Refus",1
"444","vac leg slint",1
"445","Vac mat, Bubble wrap",1
"446","vac splint",4
"447","Vac splint",3
"448","vac splint applied",1
"449","Vac splint applied by ambulance crew",1
"450","vac splint applied LT leg",1
"451","Vac splint applied to left lower leg",1
"452","Vac splint left arm",1
"453","vac splint lower leg",1
"454","VAC splint right arm",1
"455","vac splint right leg",1
"456","vac splint to forearm",1
"457","Vac splint to left lower leg",1
"458","Vac splints",1
"459","Vac splints both legs",1
"460","vaccum",1
"461","vaccum splint",5
"462","Vaccum splint",1
"463","VACCUM SPLINT",2
"464","VacSplint",1
"465","vacum",1
"466","vacum splint",1
"467","Vacum splint",1
"468","vacum splint and donway splint to rt leg",1
"469","Vacum splint LT wrist",1
"470","Vacum splint to leg",1
"471","vacumm splint",1
"472","Vacumn limb splint",1
"473","Vacumn splint",1
"474","VACUMN SPLINT",1
"475","Vacusplint",3
"476","vacuum",6
"477","Vacuum",5
"478","VACUUM",3
"479","vacuum and kendrick",1
"480","vacuum ked/red",1
"481","Vacuum mattress to both limbs",1
"482","vacuum splint",12
"483","Vacuum splint",19
"484","Vacuum Splint",2
"485","VACUUM SPLINT",11
"486","VACUUM SPLINT & SHEET FOR PELVIS IMMOBILISATION",1
"487","vacuum splint (L) lower leg",1
"488","Vacuum splint + traction",1
"489","Vacuum splint applied.",1
"490","Vacuum splint by air ambulance crew",1
"491","Vacuum splint for wrist",1
"492","Vacuum splint L lower leg",1
"493","vacuum splint left arm",1
"494","Vacuum splint left leg",1
"495","Vacuum splint Lt arm/Lt leg",1
"496","Vacuum splint Lt forearm",1
"497","vacuum splint on right leg",1
"498","Vacuum splint right arm",1
"499","Vacuum splint Rt wrist",1
"500","vacuum splint to arm",1
"501","vacuum splint to imobolise",1
"502","Vacuum splint to Lt leg",1
"503","Vacuum splint to Lt Leg",1
"504","Vacuum splint to Rt ankle",1
"505","Vacuum splint to Rt wrist",1
"506","Vacuum splint to support leg",2
"507","Vacuum splint, tourniqut",1
"508","Vacuum splints",3
"509","Vacuum splints both legs",1
"510","Vacuum splints to both legs",1
"511","Vacuum split  (R) leg",1
"512","various",1
"513","VOS splint",1
"514","Wrist",1
"515","Wrists and leg splinted",1
"516","(Missing)",318604
