"","Var1","Freq"
"1","0",4
"2","1",23897
"3","2",4268
"4","3",24877
"5","4",26067
"6","5",22289
"7","6",19083
"8","7",16528
"9","8",14785
"10","9",13266
"11","10",11736
"12","11",10385
"13","12",9579
"14","13",8413
"15","14",7738
"16","15",7088
"17","16",6364
"18","17",5799
"19","18",5286
"20","19",4860
"21","20",4354
"22","21",4109
"23","22",3699
"24","23",3333
"25","24",3150
"26","25",2872
"27","26",2660
"28","27",2481
"29","28",2315
"30","29",2180
"31","30",2056
"32","31",1889
"33","32",1710
"34","33",1599
"35","34",1529
"36","35",1424
"37","36",1338
"38","37",1202
"39","38",1145
"40","39",1049
"41","40",1014
"42","41",983
"43","42",869
"44","43",909
"45","44",857
"46","45",771
"47","46",721
"48","47",684
"49","48",664
"50","49",615
"51","50",622
"52","51",524
"53","52",519
"54","53",496
"55","54",440
"56","55",491
"57","56",480
"58","57",415
"59","58",380
"60","59",390
"61","60",378
"62","61",329
"63","62",341
"64","63",315
"65","64",315
"66","65",303
"67","66",300
"68","67",266
"69","68",276
"70","69",231
"71","70",213
"72","71",223
"73","72",206
"74","73",192
"75","74",193
"76","75",160
"77","76",212
"78","77",156
"79","78",172
"80","79",151
"81","80",142
"82","81",167
"83","82",132
"84","83",130
"85","84",120
"86","85",95
"87","86",120
"88","87",105
"89","88",111
"90","89",103
"91","90",91
"92","91",106
"93","92",97
"94","93",118
"95","94",101
"96","95",81
"97","96",93
"98","97",81
"99","98",102
"100","99",69
"101","100",71
"102","101",66
"103","102",60
"104","103",60
"105","104",66
"106","105",62
"107","106",55
"108","107",67
"109","108",62
"110","109",36
"111","110",52
"112","111",56
"113","112",47
"114","113",42
"115","114",45
"116","115",35
"117","116",38
"118","117",46
"119","118",39
"120","119",37
"121","120",34
"122","121",28
"123","122",33
"124","123",30
"125","124",27
"126","125",21
"127","126",27
"128","127",24
"129","128",28
"130","129",27
"131","130",28
"132","131",31
"133","132",22
"134","133",14
"135","134",22
"136","135",23
"137","136",23
"138","137",17
"139","138",20
"140","139",23
"141","140",13
"142","141",17
"143","142",18
"144","143",21
"145","144",24
"146","145",11
"147","146",15
"148","147",18
"149","148",17
"150","149",11
"151","150",17
"152","151",16
"153","152",12
"154","153",20
"155","154",13
"156","155",13
"157","156",9
"158","157",16
"159","158",16
"160","159",14
"161","160",12
"162","161",12
"163","162",11
"164","163",6
"165","164",6
"166","165",9
"167","166",6
"168","167",12
"169","168",12
"170","169",13
"171","170",13
"172","171",8
"173","172",12
"174","173",9
"175","174",8
"176","175",7
"177","176",10
"178","177",8
"179","178",8
"180","179",4
"181","180",8
"182","181",2
"183","182",4
"184","183",4
"185","184",8
"186","185",7
"187","186",8
"188","187",8
"189","188",3
"190","189",8
"191","190",4
"192","191",6
"193","192",5
"194","193",7
"195","194",5
"196","195",6
"197","196",5
"198","197",5
"199","198",2
"200","199",3
"201","200",4
"202","201",5
"203","202",1
"204","203",4
"205","204",4
"206","205",2
"207","206",2
"208","207",9
"209","208",5
"210","209",4
"211","210",5
"212","211",7
"213","212",4
"214","213",3
"215","214",6
"216","215",4
"217","216",3
"218","217",3
"219","218",1
"220","219",1
"221","220",6
"222","221",2
"223","222",4
"224","223",3
"225","224",5
"226","225",1
"227","226",2
"228","227",1
"229","228",1
"230","229",3
"231","230",3
"232","231",1
"233","232",1
"234","233",1
"235","234",3
"236","235",3
"237","236",3
"238","237",1
"239","238",6
"240","239",4
"241","240",3
"242","241",2
"243","242",2
"244","243",3
"245","245",5
"246","246",1
"247","247",4
"248","248",1
"249","249",1
"250","250",1
"251","254",1
"252","255",3
"253","256",3
"254","258",1
"255","259",1
"256","260",3
"257","261",2
"258","262",1
"259","263",1
"260","264",2
"261","265",3
"262","267",2
"263","268",1
"264","269",2
"265","272",5
"266","275",1
"267","278",1
"268","279",3
"269","280",1
"270","281",1
"271","284",2
"272","286",1
"273","287",2
"274","290",2
"275","291",2
"276","292",2
"277","296",1
"278","297",1
"279","298",1
"280","302",2
"281","303",2
"282","305",1
"283","307",1
"284","308",2
"285","310",1
"286","311",1
"287","312",1
"288","313",2
"289","314",1
"290","315",1
"291","316",2
"292","318",1
"293","320",1
"294","323",1
"295","326",1
"296","327",3
"297","328",1
"298","329",1
"299","332",1
"300","335",2
"301","336",1
"302","337",1
"303","341",1
"304","342",1
"305","351",1
"306","353",1
"307","359",1
"308","362",1
"309","365",7
"310","366",1
"311","367",2
"312","368",3
"313","369",12
"314","370",2
"315","371",7
"316","372",5
"317","373",5
"318","374",3
"319","375",3
"320","376",1
"321","378",2
"322","379",3
"323","380",2
"324","381",2
"325","383",2
"326","384",1
"327","387",1
"328","388",1
"329","392",2
"330","396",1
"331","398",2
"332","401",1
"333","402",3
"334","414",2
"335","425",1
"336","427",1
"337","430",1
"338","435",1
"339","463",1
"340","471",1
"341","472",1
"342","491",1
"343","507",1
"344","512",1
"345","554",1
"346","708",1
"347","730",1
"348","732",1
"349","740",1
"350","745",1
"351","751",1
"352","752",1
"353","870",1
"354","1098",1
