"","Var1","Freq"
"1","0",325
"2","0.1",343
"3","0.2",240
"4","0.3",205
"5","0.4",200
"6","0.5",154
"7","0.6",165
"8","0.7",163
"9","0.8",159
"10","0.9",118
"11","1",94
"12","1.1",80
"13","1.2",81
"14","1.3",89
"15","1.4",88
"16","1.5",116
"17","1.6",126
"18","1.7",133
"19","1.8",144
"20","1.9",162
"21","2",148
"22","2.1",160
"23","2.2",158
"24","2.3",166
"25","2.4",146
"26","2.5",136
"27","2.6",137
"28","2.7",112
"29","2.8",126
"30","2.9",141
"31","3",117
"32","3.1",108
"33","3.2",103
"34","3.3",98
"35","3.4",98
"36","3.5",78
"37","3.6",101
"38","3.7",91
"39","3.8",93
"40","3.9",81
"41","4",70
"42","4.1",74
"43","4.2",82
"44","4.3",76
"45","4.4",75
"46","4.5",76
"47","4.6",79
"48","4.7",78
"49","4.8",58
"50","4.9",66
"51","5",61
"52","5.1",66
"53","5.2",63
"54","5.3",65
"55","5.4",61
"56","5.5",71
"57","5.6",66
"58","5.7",67
"59","5.8",59
"60","5.9",70
"61","6",58
"62","6.1",52
"63","6.2",62
"64","6.3",56
"65","6.4",56
"66","6.5",66
"67","6.6",53
"68","6.7",64
"69","6.8",71
"70","6.9",50
"71","7",48
"72","7.1",53
"73","7.2",71
"74","7.3",65
"75","7.4",66
"76","7.5",62
"77","7.6",59
"78","7.7",42
"79","7.8",53
"80","7.9",66
"81","8",60
"82","8.1",48
"83","8.2",54
"84","8.3",54
"85","8.4",70
"86","8.5",62
"87","8.6",57
"88","8.7",56
"89","8.8",48
"90","8.9",63
"91","9",51
"92","9.1",56
"93","9.2",81
"94","9.3",57
"95","9.4",66
"96","9.5",59
"97","9.6",63
"98","9.7",62
"99","9.8",66
"100","9.9",52
"101","10",59
"102","10.1",64
"103","10.2",63
"104","10.3",73
"105","10.4",70
"106","10.5",69
"107","10.6",75
"108","10.7",57
"109","10.8",56
"110","10.9",72
"111","11",70
"112","11.1",77
"113","11.2",83
"114","11.3",88
"115","11.4",93
"116","11.5",86
"117","11.6",86
"118","11.7",101
"119","11.8",100
"120","11.9",100
"121","12",84
"122","12.1",82
"123","12.2",97
"124","12.3",81
"125","12.4",98
"126","12.5",81
"127","12.6",117
"128","12.7",104
"129","12.8",98
"130","12.9",89
"131","13",80
"132","13.1",93
"133","13.2",81
"134","13.3",85
"135","13.4",94
"136","13.5",109
"137","13.6",106
"138","13.7",106
"139","13.8",108
"140","13.9",100
"141","14",92
"142","14.1",103
"143","14.2",113
"144","14.3",108
"145","14.4",128
"146","14.5",93
"147","14.6",121
"148","14.7",110
"149","14.8",109
"150","14.9",122
"151","15",107
"152","15.1",99
"153","15.2",102
"154","15.3",131
"155","15.4",116
"156","15.5",120
"157","15.6",151
"158","15.7",154
"159","15.8",149
"160","15.9",146
"161","16",170
"162","16.1",170
"163","16.2",158
"164","16.3",186
"165","16.4",197
"166","16.5",198
"167","16.6",200
"168","16.7",190
"169","16.8",195
"170","16.9",211
"171","17",214
"172","17.1",234
"173","17.2",244
"174","17.3",256
"175","17.4",241
"176","17.5",236
"177","17.6",250
"178","17.7",229
"179","17.8",259
"180","17.9",273
"181","18",274
"182","18.1",256
"183","18.2",281
"184","18.3",290
"185","18.4",298
"186","18.5",287
"187","18.6",307
"188","18.7",302
"189","18.8",278
"190","18.9",306
"191","19",322
"192","19.1",287
"193","19.2",301
"194","19.3",293
"195","19.4",310
"196","19.5",311
"197","19.6",327
"198","19.7",278
"199","19.8",344
"200","19.9",318
"201","20",291
"202","20.1",290
"203","20.2",283
"204","20.3",296
"205","20.4",326
"206","20.5",297
"207","20.6",308
"208","20.7",315
"209","20.8",311
"210","20.9",322
"211","21",299
"212","21.1",294
"213","21.2",326
"214","21.3",312
"215","21.4",292
"216","21.5",268
"217","21.6",324
"218","21.7",282
"219","21.8",332
"220","21.9",303
"221","22",307
"222","22.1",309
"223","22.2",326
"224","22.3",296
"225","22.4",287
"226","22.5",286
"227","22.6",307
"228","22.7",282
"229","22.8",302
"230","22.9",372
"231","23",263
"232","23.1",285
"233","23.2",282
"234","23.3",322
"235","23.4",303
"236","23.5",286
"237","23.6",290
"238","23.7",289
"239","23.8",328
"240","23.9",311
"241","24",296
"242","24.1",270
"243","24.2",284
"244","24.3",292
"245","24.4",298
"246","24.5",280
"247","24.6",301
"248","24.7",311
"249","24.8",304
"250","24.9",302
"251","25",287
"252","25.1",253
"253","25.2",278
"254","25.3",289
"255","25.4",277
"256","25.5",273
"257","25.6",263
"258","25.7",274
"259","25.8",288
"260","25.9",314
"261","26",284
"262","26.1",273
"263","26.2",285
"264","26.3",278
"265","26.4",284
"266","26.5",260
"267","26.6",287
"268","26.7",272
"269","26.8",306
"270","26.9",287
"271","27",246
"272","27.1",278
"273","27.2",276
"274","27.3",270
"275","27.4",316
"276","27.5",253
"277","27.6",283
"278","27.7",240
"279","27.8",272
"280","27.9",272
"281","28",264
"282","28.1",302
"283","28.2",256
"284","28.3",269
"285","28.4",256
"286","28.5",243
"287","28.6",261
"288","28.7",273
"289","28.8",260
"290","28.9",264
"291","29",267
"292","29.1",263
"293","29.2",218
"294","29.3",285
"295","29.4",254
"296","29.5",227
"297","29.6",263
"298","29.7",246
"299","29.8",241
"300","29.9",248
"301","30",256
"302","30.1",223
"303","30.2",235
"304","30.3",229
"305","30.4",236
"306","30.5",240
"307","30.6",238
"308","30.7",249
"309","30.8",260
"310","30.9",257
"311","31",221
"312","31.1",257
"313","31.2",239
"314","31.3",258
"315","31.4",236
"316","31.5",210
"317","31.6",257
"318","31.7",234
"319","31.8",246
"320","31.9",223
"321","32",238
"322","32.1",234
"323","32.2",210
"324","32.3",239
"325","32.4",259
"326","32.5",227
"327","32.6",248
"328","32.7",231
"329","32.8",241
"330","32.9",254
"331","33",222
"332","33.1",246
"333","33.2",218
"334","33.3",234
"335","33.4",220
"336","33.5",217
"337","33.6",241
"338","33.7",228
"339","33.8",234
"340","33.9",233
"341","34",229
"342","34.1",264
"343","34.2",224
"344","34.3",252
"345","34.4",226
"346","34.5",214
"347","34.6",215
"348","34.7",215
"349","34.8",215
"350","34.9",239
"351","35",245
"352","35.1",221
"353","35.2",240
"354","35.3",241
"355","35.4",221
"356","35.5",243
"357","35.6",234
"358","35.7",189
"359","35.8",242
"360","35.9",238
"361","36",221
"362","36.1",234
"363","36.2",207
"364","36.3",223
"365","36.4",215
"366","36.5",236
"367","36.6",241
"368","36.7",256
"369","36.8",218
"370","36.9",229
"371","37",225
"372","37.1",248
"373","37.2",224
"374","37.3",249
"375","37.4",253
"376","37.5",260
"377","37.6",222
"378","37.7",206
"379","37.8",236
"380","37.9",243
"381","38",206
"382","38.1",241
"383","38.2",229
"384","38.3",247
"385","38.4",237
"386","38.5",220
"387","38.6",255
"388","38.7",234
"389","38.8",201
"390","38.9",219
"391","39",223
"392","39.1",235
"393","39.2",237
"394","39.3",238
"395","39.4",234
"396","39.5",247
"397","39.6",236
"398","39.7",240
"399","39.8",251
"400","39.9",254
"401","40",264
"402","40.1",254
"403","40.2",212
"404","40.3",278
"405","40.4",237
"406","40.5",264
"407","40.6",230
"408","40.7",248
"409","40.8",252
"410","40.9",236
"411","41",238
"412","41.1",242
"413","41.2",235
"414","41.3",255
