"","Var1","Freq"
"1","2008-01-01",1
"2","2008-01-03",1
"3","2008-01-06",1
"4","2008-01-07",1
"5","2008-01-08",1
"6","2008-01-09",1
"7","2008-01-11",2
"8","2008-01-12",2
"9","2008-01-16",1
"10","2008-01-19",1
"11","2008-01-20",1
"12","2008-01-24",1
"13","2008-01-25",2
"14","2008-01-31",2
"15","2008-02-04",1
"16","2008-02-05",1
"17","2008-02-07",1
"18","2008-02-08",2
"19","2008-02-10",2
"20","2008-02-11",1
"21","2008-02-13",1
"22","2008-02-14",1
"23","2008-02-15",1
"24","2008-02-17",2
"25","2008-02-21",1
"26","2008-02-25",4
"27","2008-02-27",2
"28","2008-03-01",1
"29","2008-03-02",2
"30","2008-03-03",1
"31","2008-03-07",1
"32","2008-03-10",1
"33","2008-03-14",1
"34","2008-03-17",1
"35","2008-03-21",2
"36","2008-03-22",1
"37","2008-03-26",1
"38","2008-03-28",1
"39","2008-03-29",2
"40","2008-03-31",1
"41","2008-04-02",2
"42","2008-04-03",1
"43","2008-04-04",1
"44","2008-04-05",1
"45","2008-04-06",1
"46","2008-04-10",1
"47","2008-04-12",2
"48","2008-04-14",2
"49","2008-04-15",1
"50","2008-04-16",1
"51","2008-04-17",1
"52","2008-04-19",1
"53","2008-04-22",1
"54","2008-04-27",1
"55","2008-04-30",1
"56","2008-05-02",1
"57","2008-05-03",1
"58","2008-05-05",2
"59","2008-05-06",2
"60","2008-05-09",1
"61","2008-05-14",1
"62","2008-05-16",1
"63","2008-05-23",1
"64","2008-05-24",1
"65","2008-05-30",1
"66","2008-05-31",1
"67","2008-06-03",1
"68","2008-06-05",2
"69","2008-06-08",2
"70","2008-06-11",1
"71","2008-06-17",1
"72","2008-06-21",1
"73","2008-06-24",1
"74","2008-06-25",2
"75","2008-06-28",1
"76","2008-06-29",1
"77","2008-06-30",2
"78","2008-07-05",1
"79","2008-07-11",1
"80","2008-07-15",1
"81","2008-07-18",2
"82","2008-07-19",1
"83","2008-07-25",1
"84","2008-07-26",1
"85","2008-07-29",1
"86","2008-07-31",2
"87","2008-08-03",1
"88","2008-08-10",1
"89","2008-08-14",1
"90","2008-08-17",1
"91","2008-08-20",1
"92","2008-08-26",1
"93","2008-08-27",1
"94","2008-08-30",1
"95","2008-09-03",1
"96","2008-09-04",1
"97","2008-09-06",1
"98","2008-09-07",1
"99","2008-09-13",1
"100","2008-09-20",1
"101","2008-09-28",1
"102","2008-09-30",1
"103","2008-10-01",1
"104","2008-10-04",1
"105","2008-10-07",1
"106","2008-10-10",2
"107","2008-10-11",1
"108","2008-10-19",1
"109","2008-10-30",1
"110","2008-11-07",1
"111","2008-11-08",2
"112","2008-11-12",1
"113","2008-11-16",1
"114","2008-11-18",2
"115","2008-11-21",1
"116","2008-11-22",1
"117","2008-12-04",1
"118","2008-12-06",1
"119","2008-12-13",1
"120","2008-12-16",1
"121","2009-01-01",1
"122","2009-01-02",1
"123","2009-01-06",1
"124","2009-01-08",2
