"","Var1","Freq"
"1","2009-03-25",1
"2","2009-03-29",1
"3","2009-04-13",1
"4","2009-06-12",1
"5","2009-06-23",1
"6","2009-10-01",1
"7","2009-12-14",1
"8","2010-03-15",1
"9","2010-03-18",1
"10","2010-04-29",1
"11","2010-05-11",1
"12","2010-07-03",1
"13","2010-07-31",1
"14","2010-09-04",1
"15","2010-10-06",1
"16","2010-11-07",1
"17","2011-01-16",1
"18","2011-06-03",1
"19","2012-04-04",1
"20","2012-04-14",1
"21","2012-04-15",1
"22","2012-05-01",1
"23","2012-06-20",1
"24","2012-06-24",1
"25","2012-07-11",1
"26","2012-08-09",1
"27","2012-08-19",1
"28","2012-09-10",1
"29","2012-10-02",1
"30","2012-10-25",1
"31","2012-11-22",1
"32","2013-04-24",1
"33","2013-06-25",1
"34","2013-07-06",1
"35","2013-09-23",1
"36","2013-10-16",1
"37","2013-11-19",1
"38","2013-12-05",1
"39","2013-12-08",1
"40","2013-12-17",1
"41","2014-02-04",1
"42","2014-03-16",1
"43","2014-03-25",1
"44","2014-04-02",1
"45","2014-04-25",1
"46","2014-05-02",1
"47","2014-05-06",1
"48","2014-05-10",1
"49","2014-05-25",1
"50","2014-06-03",1
"51","2014-06-04",1
"52","2014-06-05",1
"53","2014-06-07",1
"54","2014-06-10",1
"55","2014-06-22",2
"56","2014-06-27",1
"57","2014-06-29",1
"58","2014-07-03",1
"59","2014-07-05",1
"60","2014-07-06",1
"61","2014-07-17",1
"62","2014-07-18",2
"63","2014-07-21",1
"64","2014-07-31",2
"65","2014-08-01",1
"66","2014-08-06",3
"67","2014-08-09",1
"68","2014-08-29",2
"69","2014-09-05",1
"70","2014-09-07",1
"71","2014-09-08",1
"72","2014-09-10",1
"73","2014-09-13",1
"74","2014-09-20",3
"75","2014-09-28",1
"76","2014-10-08",1
"77","2014-10-09",1
"78","2014-10-11",1
"79","2014-10-15",1
"80","2014-10-17",1
"81","2014-10-19",1
"82","2014-10-26",1
"83","2014-11-01",2
"84","2014-11-15",1
"85","2014-11-24",1
"86","2014-11-27",1
"87","2014-11-29",1
"88","2014-11-30",2
"89","2014-12-01",1
"90","2014-12-05",1
"91","2014-12-13",1
"92","2015-01-03",1
"93","2015-01-06",1
"94","2015-01-11",1
"95","2015-01-14",1
"96","2015-01-20",1
"97","2015-01-21",1
"98","2015-01-28",1
"99","2015-01-31",1
"100","2015-02-01",1
"101","2015-02-06",1
"102","2015-02-23",1
"103","2015-02-28",2
"104","2015-03-02",2
"105","2015-03-21",1
"106","2015-03-27",1
"107","2015-03-28",1
"108","2015-04-03",1
"109","2015-04-16",1
"110","2015-04-21",1
"111","2015-04-30",1
"112","2015-05-01",1
