"","Var1","Freq"
"1","1",479
"2","2",5
"3","4",5
"4","5",9
"5","6",3
"6","9",2
"7","10",44
"8","15",1
"9","16",1
"10","19",2
"11","20",1
"12","50",8
"13","70",1
"14","80",1
"15","100",342
"16","120",1
"17","125",1
"18","129",1
"19","150",10
"20","180",2
"21","200",37
"22","210",1
"23","240",2
"24","250",7
"25","300",20
"26","325",1
"27","330",1
"28","350",7
"29","375",3
"30","400",14
"31","420",3
"32","450",15
"33","500",488
"34","600",16
"35","645",1
"36","650",2
"37","700",2
"38","750",7
"39","800",2
"40","830",1
"41","900",4
"42","1000",9472
"43","1005",1
"44","1100",1
"45","1140",1
"46","1200",1
"47","1300",1
"48","1408",1
"49","1500",2
"50","2000",13
"51","2250",1
"52","2500",2
"53","4000",1
"54","5000",4
