"","Var1","Freq"
"1","2009-01-02",1
"2","2009-04-06",1
"3","2009-04-18",1
"4","2009-04-21",1
"5","2009-04-27",1
"6","2009-04-29",1
"7","2009-05-08",1
"8","2009-05-23",1
"9","2009-06-05",1
"10","2009-06-10",1
"11","2009-06-11",1
"12","2009-06-12",1
"13","2009-06-16",1
"14","2009-06-20",2
"15","2009-06-27",1
"16","2009-06-28",2
"17","2009-07-06",1
"18","2009-07-07",1
"19","2009-08-08",1
"20","2009-08-09",1
"21","2009-08-13",1
"22","2009-08-16",1
"23","2009-08-22",2
"24","2009-09-05",1
"25","2009-09-07",2
"26","2009-09-25",2
"27","2009-10-03",1
"28","2009-10-09",1
"29","2009-10-12",1
"30","2009-10-17",1
"31","2009-10-18",1
"32","2009-10-21",1
"33","2009-10-22",1
"34","2009-10-23",2
"35","2009-10-30",1
"36","2009-11-14",1
"37","2009-11-18",1
"38","2009-11-20",2
"39","2009-11-21",1
"40","2009-11-28",1
"41","2009-11-29",1
"42","2009-11-30",1
"43","2009-12-07",1
"44","2009-12-12",1
"45","2009-12-15",1
"46","2009-12-16",1
"47","2009-12-18",1
"48","2009-12-23",1
"49","2009-12-31",1
"50","2010-01-01",2
"51","2010-01-07",1
"52","2010-01-10",1
"53","2010-01-15",1
"54","2010-01-17",1
"55","2010-01-24",2
"56","2010-01-27",1
"57","2010-01-28",1
"58","2010-02-04",1
"59","2010-02-05",1
"60","2010-02-06",2
"61","2010-02-11",1
"62","2010-02-12",1
"63","2010-02-13",2
"64","2010-02-14",1
"65","2010-02-17",1
"66","2010-02-19",1
"67","2010-02-22",1
"68","2010-02-24",1
"69","2010-02-26",1
"70","2010-02-28",1
"71","2010-03-03",2
"72","2010-03-06",1
"73","2010-03-07",1
"74","2010-03-12",1
"75","2010-03-13",1
"76","2010-03-17",2
"77","2010-03-18",1
"78","2010-03-25",1
"79","2010-04-01",1
"80","2010-04-03",1
"81","2010-04-04",2
"82","2010-04-05",1
"83","2010-04-08",3
"84","2010-04-10",1
"85","2010-04-11",1
"86","2010-04-13",1
"87","2010-04-16",3
"88","2010-04-18",1
"89","2010-04-19",2
"90","2010-04-21",1
"91","2010-04-25",1
"92","2010-04-26",1
"93","2010-04-27",2
"94","2010-05-01",1
"95","2010-05-02",1
"96","2010-05-05",1
"97","2010-05-06",1
"98","2010-05-07",1
"99","2010-05-08",1
"100","2010-05-11",1
"101","2010-05-12",1
"102","2010-05-14",1
"103","2010-05-17",1
"104","2010-05-18",1
"105","2010-05-20",1
"106","2010-05-21",1
"107","2010-05-22",2
"108","2010-05-24",1
"109","2010-05-25",1
"110","2010-05-27",2
"111","2010-05-28",1
"112","2010-05-31",1
"113","2010-06-01",1
"114","2010-06-06",1
"115","2010-06-13",1
"116","2010-06-19",1
"117","2010-06-25",2
"118","2010-06-30",1
"119","2010-07-15",1
"120","2010-07-17",1
"121","2010-07-22",1
"122","2010-07-31",1
"123","2010-08-07",2
"124","2010-08-09",1
"125","2010-08-10",1
"126","2010-08-13",1
"127","2010-08-14",2
"128","2010-08-17",1
"129","2010-08-23",1
"130","2010-08-25",1
"131","2010-08-26",1
"132","2010-08-27",1
"133","2010-09-06",1
"134","2010-09-07",1
"135","2010-09-17",1
"136","2010-09-18",1
"137","2010-09-24",1
"138","2010-09-25",1
"139","2010-09-28",1
"140","2010-10-01",1
"141","2010-10-02",1
"142","2010-10-03",1
"143","2010-10-08",1
"144","2010-10-10",1
"145","2010-10-16",1
"146","2010-10-19",1
"147","2010-10-21",1
"148","2010-10-24",1
"149","2010-10-26",1
"150","2010-10-27",1
"151","2010-10-29",1
"152","2010-11-03",1
"153","2010-11-12",1
"154","2010-11-15",1
"155","2010-11-18",1
"156","2011-01-15",1
"157","2011-02-13",1
"158","2011-03-19",1
"159","2011-09-21",1
"160","2011-12-15",1
"161","2012-01-31",1
"162","2012-04-01",1
"163","2012-04-19",1
"164","2012-06-29",1
"165","2012-10-03",1
"166","2012-10-13",1
"167","2012-11-01",1
"168","2012-11-12",1
"169","2012-12-08",1
"170","2012-12-15",1
"171","2012-12-27",1
"172","2013-01-18",1
"173","2013-01-23",1
"174","2013-02-15",1
"175","2013-02-22",1
"176","2013-03-10",1
"177","2013-03-29",1
"178","2013-03-30",1
"179","2013-04-12",1
"180","2013-04-17",1
"181","2013-04-20",1
"182","2013-04-26",1
"183","2013-05-20",1
"184","2013-05-24",1
"185","2013-05-26",1
"186","2013-05-27",1
"187","2013-06-03",1
"188","2013-06-05",1
"189","2013-07-08",1
"190","2013-08-22",1
"191","2013-09-06",1
"192","2013-10-07",1
"193","2013-11-09",1
"194","2013-11-14",1
"195","2014-01-03",1
"196","2014-01-04",1
"197","2014-01-20",1
"198","2014-04-10",1
"199","2014-04-25",1
"200","2014-05-24",1
"201","2014-07-26",1
"202","2014-08-19",1
"203","2014-09-05",1
"204","2014-10-28",1
"205","2015-01-15",1
"206","2015-03-07",1
"207","2015-04-02",1
